id	name	object
SR-STR-156	Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate	For E_{1,s}: y^2=x(x-(2s)^2)(x+(s^2-1)^2), with (a,b,c)=(2s,s^2-1,s^2+1), the geometric generic Mordell-Weil rank is 0. Yoshida's displayed fixed-fiber orbit at s=5/3 has h(t_n)=Theta(n^2), hence contributes only O(sqrt(log B)) indices below physical height B; the displayed positive-rank s-sequence likewise has O(sqrt(log X)) parameters of height <=X.
SR-STR-164	Square/polynomial-sieve collision-cover transfer	Squareclass equality [K(theta)]=[K(theta_prime)] is equivalent to a square-lift equation Y^2=K(theta)K(theta_prime). After removing diagonal/symmetry/square components and auditing irreducibility, nonsquareness, singular loci and height conversion, Heath-Brown/Browning square-polynomial sieves or Bonolis-Pierce nonseparable polynomial sieve become the primary collision-energy weapons. Stage14-t20--t44 provides an exact raw-edge squareclass collision chain: coprime difference-of-squares factors e
SR-STR-165	Gaussian quadratic-Hecke large-sieve transfer with ray-class correction	For E=m^2+n^2=(m+in)(m-in), split-prime root choices are Gaussian prime-ideal choices. If a Stage14 state tensor becomes a finite sum of one-ideal-at-a-time quadratic Hecke symbols chi_a(b), Goldmakher-Louvel/Onodera Q(i) large-sieve technology applies after fixed unit/ray-class corrections and coprimality cleanup. Stage14-t30--t51 records the Gaussian analytic boundary in detail. Auxiliary good-prime quartic characters have complete Weil cancellation, their value symbols transfer to Q(i) Hecke 
SR-STR-172	Rectangular arithmetic-progression product set has full fixed-power exponent	For nonempty fixed-E interval rectangles D,V, Xu-Zhou asymmetric arithmetic-progression product-set bounds give |D*V| >= |D||V|/(log max(|D|,|V|))^O(1) when both sides are polynomial; if one side is B^o(1), an injective slice gives the same exponent conclusion. Thus |D*V|=B^(kappa_D+kappa_V+o(1)) and ambient multiplication collisions provide no fixed B-power saving.
SR-STR-177	Dual half-angle selector cancellation with four-cell gcd matrix	For H2±S2=kappa(s^2,t^2), the two compact selectors have exact square cancellations gcd(N_-,H2-S2)=kappa k_-^2 and gcd(N_+,H2+S2)=kappa k_+^2. The four pairwise-coprime good-odd cells q_{--},q_{-+},q_{+-},q_{++} form the selector gcd matrix, and the product identity yields QK=X2/kappa. The complete matrix square is automatic.
SR-STR-181	Primitive physical two-face gluing and compact conjugate-gap chart	For oriented primitive Pythagorean faces with S1=g*alpha and S2=g*beta, minimal shared-edge gluing is e=g*alpha*beta=lcm(S1,S2), x=beta*X1, y=alpha*X2; a common scale t equals gcd(e,x,y), so primitivity forces t=1. With t1=X1/S1, t2=X2/S2 and L=lcm(S1,S2), (e,x,y)=L(1,t1,t2) and the ambient real height is D_R=L*sqrt(1+t1^2+t2^2), without any rational or integral space-diagonal condition. On the physical space-diagonal branch, G^2=H^2*S2^2+S^2*X2^2=S^2*H2^2+X^2*S2^2 gives an induced integral trip
SR-STR-191	Non-independent weighted local-Sha-height retainer chain	On one nonnegative weighted family A_Q>=S_Q>=R_Q>=H_Q,C, the exact local, global/Sha and first-small-point retainers combine without independence: H_Q,C <= rho_ht*rho_glob*rho_loc*A_Q + rho_ht*rho_glob*E_loc + rho_ht*E_glob + E_ht. The middle complement is the Sha trap R_Q=S_Q-T_Q and the final complement is H_Q,C=R_Q-U_Q,C.
SR-STR-192	K4 reciprocity 2-core peeling and three-regime graph escape	The six reciprocal Jacobi edges on m,n,m-n,m+n form K4. Leaf peeling closes every empty 2-core monomial (38 of 64 edge subsets); the remaining 26 have cores C3 (16), C4 (3), diamond (6), or K4 (1). A three-regime escape with eta=1/100 closes every nonempty core, with conservative regular-box saving M^(-1/200+epsilon).
SR-STR-194	Shared-squareclass four-cell thin-packet switch	For squarefree coprime pairs ab=cd=xi, set alpha=gcd(a,c), beta=gcd(a,d), gamma=gcd(b,c), delta=gcd(b,d). Then a=alpha beta, b=gamma delta, c=alpha gamma, d=beta delta with four pairwise-coprime cells and xi=alpha beta gamma delta. Holding three cells fixed turns the same-kernel condition into a genuine nonsquare quartic in the fourth cell; a one-variable square sieve closes the hard thin packet without dropping the shared xi label.
SR-STR-198	Balanced Gaussian square-divisor common-core compression with CRT line rigidity	Balanced xi/k switch cells beta,gamma,S,T lift from c^2|A^2+B^2 to exact Gaussian square divisors lambda_c^2|Z_c. The four residual norms collapse pairwise to q_beta=q_gamma=C u and q_S=q_T=C v with u v<=B^(1/4+o(1)). Fixed eight cells plus (C,u,v) have B^o(1) physical lifts. The primitive z direction lies in the full k CRT lattice and has dual order k^2, while the xi short span is forced to rank one by Plucker-minor modulus-versus-height rigidity, giving a unique physical root vector in a fixed
SR-STR-202	Root-gcd square transfer and globally odd-primitive square-root saturation	Cross-root and same-side root gcd cells inject square divisors into both the endpoint column and Cayley row. After the lost-core peel, K^2*(H^2/D0) divides the reduced column product. Reversing the quantifier order and choosing the cross-root gcd H before D0 makes D0|H^2 divisor-many and yields a complete stratum count 1/2-kappa-s. Thus every fixed-power cross-root or same-side root-gcd stratum is strictly sub-square-root; any square-root saturation sequence has H=K=B^o(1), C/J=C_Cayley/J=B^o(1)
SR-STR-209	Common-core centered root discrepancy and variable-modulus character/projective-collision dichotomy	Stratifying the exact common core C0=B^(kappa+o(1)) separates a low-core allocation branch from a polynomial-core branch. The root indicator has an exact principal-plus-centered decomposition; polynomial-core saturation forces positive centered excess. That centered root discrepancy has an exact multiplicative-character expansion with an L2 coefficient identity, and large fixed-C discrepancy forces projective collision energy. The obstruction then splits into concentrated projective collisions o
SR-STR-210	Heavy primitive-ray versus genuine determinant-mover dichotomy with quotient-scale stratification	After the projective-collision reduction, diagonal collisions cannot support concentrated saturation. The surviving concentrated branch is either a heavy primitive ray or a genuine nonzero determinant mover, while the diffuse exact-modulus branch remains separate. For genuine movers write the nonzero determinant as C*q; super-determinant moduli are empty, near-maximal mover moduli have only a B^o(1) q-dictionary, and separated moduli retain a polynomial q-range.
SR-STR-214	Rectangular product capacity exhaustion and reciprocal CRT completion pullback	The fixed-E moving ordinary-divisor window straightens to a rectangular product set. Pair capacity is controlled by the rectangle size, multiplication has only divisor-many fibers, and the coprime/unitary restriction causes no fixed-power loss, so bare arithmetic capacity is exhausted. Pulling completion back to the primitive pair shows that the remaining Boolean is exactly reciprocal divisor/CRT solvability followed by the residual post-column mask; the total completion deficit splits into reci
SR-STR-215	Seeded/seedless K-free reciprocal divisor-allocation CRT first-moment gate	Explicit homogeneous reciprocal seeds show that reciprocal solvability can have full exponent. Away from that diagonal seed, witnesses normalize to a K-free moving divisor-allocation system retaining two exact CRT congruences. Bounded witness multiplicity makes support at B-power scale equivalent to a single first moment, exposing the theorem species UniformPrimitiveRectangleNestedKFreeQuadraticDivisorRootFirstMoment. The frozen H audit finds no direct off-the-shelf theorem or complete mask-pres
SR-STR-216	Explicit Peyre-Tamagawa constant for the primitive exactly-two two-face ambient height	For Y=Bl_4(P^1 x P^1) with the physical anticanonical height D_R, the exactly-two chamber counts satisfy E_q(B) ~ Lambda_E M_q B(log B)^5 and E_2(B) ~ C_E B(log B)^5, where Lambda_E=(1/81920) prod_{p>=3}(1-1/p)^6(1+6/p+1/p^2), C_E=Lambda_E(M_a+M_b+M_c), alpha(Y)=1/2880, beta(Y)=1, and the physical bad-prime factor is tau_2=9/64. The third-face-square degree-two thin subset has zero leading density, so raw and exactly-two leading constants agree.
SR-STR-222	Fixed-U canonical-LPF projective Gaussian residue receiver chain	For one frozen outer U, the canonical-LPF cofactor Q=ell*delta0 is reduced from an elementary mover boundary to an exact principal/centered boundary incidence. The generic prime-action image is B^o(1) and can be frozen at zero power cost; fixed-Q Gaussian fibers have only exponent-zero principal density, so any fixed-power deficit must live in outer-Q support. Split-prime orientations then project to primitive norm-form support; after cofactor-ray reduction the selected projective prime class li
SR-STR-224	Fixed-R coefficient-cell accumulation and hyperbolic boundary barrier	After fixing the physical diagonal R, the identity kappa|R makes admissible squarefree kernels divisor-many and removes the prior varying-modulus K entropy. With X_R=R/(delta*C), the physical-weighted dyadic host satisfies T_R <<_epsilon R^epsilon(X_R/K+sqrt(X_R)); summing coefficient cells t=delta*c0*cs*cn with d_4(t) gives T_R^(all cells)(kappa~K) <<_epsilon R^epsilon(R/K+R). The 1/K main-term gain survives, but the hyperbolic square-root boundary accumulates to R^(1+o(1)), so the current obst
SR-STR-225	Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall	On the fixed-U shared-divisor-fan Kummer packet, the complete projective kernel has square-root complete trace and an exact rank-one Kummer/Mellin expansion, while the physical selector retains correlated canonical-prime, primitive-cover, hyperbola and reconstruction masks. Those masks admit zero-fixed-power support-energy transfer and a B^o(1) family of pairwise-orthogonal comparator rectangles. Passing to the positive polar operator |C_r| is not zero-loss: its Schatten/leverage mass carries a 
