source_id	path	heading	flags	top_candidates
SRC-8A39595D08AB	stages/stage15/15-6cc/result.md	# Stage15-6cc — BLIND_REDISCOVERY	STAGE15_6CC_EXIT=CANDIDATE_LEDGER_AND_PARKING_AUDIT_READY	SR-STR-215:20, SR-STR-222:20, SR-STR-169:18, SR-STR-200:18, SR-STR-219:18
SRC-0836C803FF8B	stages/stage15/15-6cd/result.md	# Stage15-6cd — candidate ledger + cycle parking audit	| raw divisor expansion with fixed-modulus density summation | BLOCKED | moving-normalizer firewall from 6bz | | STAGE15_6CD_REQUIRED_CLASSES_PRESENT=LIVE,UNTESTED,EQUIVALENT,DOMINATED,BLOCKED	SR-STR-222:42, SR-STR-200:24, SR-STR-219:23, SR-STR-206:21, SR-STR-215:17
SRC-827AC0CCBB4D	stages/stage15/15-6ce/result.md	# Stage15-6ce — pointwise structural domination audit	Hence the preserved pointwise route is now tested and BLOCKED for the current normal form; this closes the UNTESTED ledger entry rather than silently dropping it. | STAGE15_6CE_POINTWISE_STRUCTURAL_DOMINATION_PROVED=false | STAGE15_6CE_POINTWISE_ROUTE_CLASS=BLOCKED_CURRENT_NORMAL_FORM | STAGE15_6CE_EXIT=PHYSICAL_DIVISOR_SWITCH_READY	SR-STR-169:18, SR-STR-215:18, SR-STR-177:17, SR-STR-200:17, SR-STR-222:17
SRC-C2D4E9C3FCBA	stages/stage15/15-6cf/result.md	# Stage15-6cf — repaired physical-height-aware divisor switch		SR-STR-206:29, SR-STR-200:24, SR-STR-213:24, SR-STR-162:23, SR-STR-165:23
SRC-853302015E7D	stages/stage15/15-6cg/result.md	# Stage15-6cg — repaired two-range receiver parking audit	The exploration-safety state from 6cd is retained. The pointwise domination candidate tested in 6ce remains BLOCKED in the current normal form. | STAGE15_6CG_EXIT=FRESH_AUDIT_OF_REPAIRED_DIVISOR_SWITCH	SR-STR-222:26, SR-STR-200:21, SR-STR-162:19, SR-STR-157:17, SR-STR-206:17
SRC-46E1AD2CE2B3	stages/stage15/15-6ch/result.md	# Stage15-6ch — small-range exact phi-weighted physical root-line sum		SR-STR-102:18, SR-STR-216:16, SR-STR-200:15, SR-STR-141:14, SR-STR-156:14
SRC-783479A7A29D	stages/stage15/15-6ci/result.md	# Stage15-6ci — large-range complementary-cofactor quantitative profile	STAGE15_6CI_INVERSE_D0_DECAY_PROVED=false | STAGE15_6CI_EXIT=COUPLED_D0_OPTIMIZATION_AUDIT_READY	SR-STR-145:15, SR-STR-163:11, SR-STR-140:10, SR-STR-172:10, SR-STR-186:10
SRC-5FEB06545460	stages/stage15/15-6cj/result.md	# Stage15-6cj — coupled D0 optimization audit	- immediate split: BLOCKED pending a legal polynomial overlap window;	SR-STR-222:34, SR-STR-164:28, SR-STR-162:24, SR-STR-200:24, SR-STR-211:24
SRC-42CD0FE999A9	stages/stage15/15-6ck/result.md	# Stage15-6ck — small-range polynomial-window audit	STAGE15_6CK_POLYNOMIAL_WINDOW_PROVED=false | STAGE15_6CK_EXIT=LARGE_COMPLEMENTARY_DECAY_TEST_READY	SR-STR-222:30, SR-STR-223:28, SR-STR-169:25, SR-STR-200:23, SR-STR-209:22
SRC-5D479FC29403	stages/stage15/15-6cl/result.md	# Stage15-6cl — large complementary-cofactor decay audit	1. Markov on `de>D0` using `1_{de>D0}<=de/D0` raises the weight to `(de)^2/D0` and is worse; BLOCKED.	SR-STR-169:17, SR-STR-151:15, SR-STR-195:15, SR-STR-162:14, SR-STR-216:14
SRC-6914C67C64DE	stages/stage15/15-6cm/result.md	# Stage15-6cm — coupled D0 optimization recomputation	- exact phi resummation as sufficient fix: BLOCKED; | - Markov large-range decay: BLOCKED; | - immediate split: BLOCKED pending overlap window. | STAGE15_6CM_POLYNOMIAL_OVERLAP_WINDOW_PROVED=false	SR-STR-164:29, SR-STR-170:26, SR-STR-222:25, SR-STR-169:21, SR-STR-200:21
SRC-03109456F93C	stages/stage15/15-6cn/result.md	# Stage15-6cn — small-range polynomial-window theorem target		SR-STR-194:25, SR-STR-164:24, SR-STR-224:24, SR-STR-206:22, SR-STR-219:22
SRC-78740BCB164B	stages/stage15/15-6co/result.md	# Stage15-6co — large complementary reciprocal-product audit	A direct pointwise domination by the raw physical diagonal height was tested and fails. Indeed with `n=s=1` and `m=r=T`,	SR-STR-216:23, SR-STR-151:21, SR-STR-223:20, SR-STR-162:19, SR-STR-092:18
SRC-16A268124FCE	stages/stage15/15-6cp/result.md	# Stage15-6cp — coupled polynomial overlap recomputation		SR-STR-164:27, SR-STR-162:18, SR-STR-222:16, SR-STR-115:15, SR-STR-111:14
SRC-B19AAA1501D5	stages/stage15/15-6cq/result.md	# Stage15-6cq — dyadic physical root-line boundary audit		SR-STR-224:33, SR-STR-219:32, SR-STR-151:26, SR-STR-206:26, SR-STR-216:26
SRC-FFE2DAA587D6	stages/stage15/15-6cr/result.md	# Stage15-6cr — primitive-normalized reciprocal complementary-product audit	turns the exact weight into a higher positive moment `(de)^{1+eta}`, so without a pre-existing gcd moment it worsens the receiver and is BLOCKED. The complementary-product truncation is also one-sided: small `a_Sb_Sa_Ob_O` makes the reciprocal weight larger.	SR-STR-215:28, SR-STR-173:22, SR-STR-010:18, SR-STR-138:18, SR-STR-146:18
SRC-E1F94FD31340	stages/stage15/15-6cs/result.md	# Stage15-6cs — quantified delta/beta/sigma recomputation		SR-STR-215:38, SR-STR-194:35, SR-STR-134:33, SR-STR-222:33, SR-STR-139:31
SRC-DE36F4AA84DD	stages/stage15/15-6ct/result.md	# Stage15-6ct — exact cross-gcd cell factorization		SR-STR-194:50, SR-STR-085:31, SR-STR-200:29, SR-STR-181:28, SR-STR-198:22
SRC-527454EA6D1D	stages/stage15/15-6cu/result.md	# Stage15-6cu — small-side normalizer-only delta test	STAGE15_6CU_FULL_SURVIVOR_DELTA_PROVED=false | STAGE15_6CU_EXIT=LARGE_NORMALIZER_ONLY_SIGMA_TEST_READY	SR-STR-200:20, SR-STR-112:18, SR-STR-163:18, SR-STR-194:18, SR-STR-098:17
SRC-12D848A7F2E3	stages/stage15/15-6cv/result.md	# Stage15-6cv — large-side transversality test and coupled recomputation		SR-STR-200:30, SR-STR-162:22, SR-STR-168:22, SR-STR-222:22, SR-STR-086:20
SRC-FD6FFC8C1D1E	stages/stage15/15-6cw/result.md	# Stage15-6cw — EXHAUSTIVE_VIEW_AUDIT of residual S/O channel arithmetic		SR-STR-222:48, SR-STR-200:46, SR-STR-163:37, SR-STR-080:36, SR-STR-162:34
SRC-1C609EBF8886	stages/stage15/15-6cx/result.md	# Stage15-6cx — BLIND_REDISCOVERY from the exact cell-normalized forms		SR-STR-222:85, SR-STR-200:50, SR-STR-145:36, SR-STR-162:33, SR-STR-223:32
SRC-871B03E54BB2	stages/stage15/15-6cy/result.md	# Stage15-6cy — candidate ledger closure, route selection, then delta/sigma resume		SR-STR-222:66, SR-STR-206:47, SR-STR-169:41, SR-STR-209:39, SR-STR-225:39
SRC-86FE0E5B0D3C	stages/stage15/15-6cz/result.md	# Stage15-6cz — exact survivor equations in cross-gcd cells		SR-STR-194:23, SR-STR-162:18, SR-STR-195:18, SR-STR-198:18, SR-STR-184:17
SRC-1A88DE047DA3	stages/stage15/15-6da/result.md	# Stage15-6da — divisor-many fourth-variable completion via a Pell norm		SR-STR-090:33, SR-STR-214:31, SR-STR-201:29, SR-STR-208:29, SR-STR-213:29
SRC-41D84B280FC0	stages/stage15/15-6db/result.md	# Stage15-6db — reconstruction bound propagated into the delta/beta/sigma ledger		SR-STR-222:64, SR-STR-089:41, SR-STR-213:38, SR-STR-209:37, SR-STR-225:37
SRC-936AB7D6D96B	stages/stage15/15-6dc/result.md	# Stage15-6dc — EXHAUSTIVE_VIEW_AUDIT of the reconstructed three-variable/Pell graph		SR-STR-222:60, SR-STR-225:50, SR-STR-208:49, SR-STR-173:39, SR-STR-090:38
SRC-ABA948FD3406	stages/stage15/15-6dd/result.md	# Stage15-6dd — BLIND_REDISCOVERY on the reconstructed three-variable/Pell graph		SR-STR-173:52, SR-STR-090:51, SR-STR-222:45, SR-STR-201:38, SR-STR-219:37
SRC-A1E22C0A7577	stages/stage15/15-6de/result.md	# Stage15-6de — reconstructed-graph route selection, then delta/sigma ledger resume		SR-STR-222:66, SR-STR-169:35, SR-STR-225:35, SR-STR-151:33, SR-STR-219:32
SRC-24EBE23F5CE4	stages/stage15/15-6df/result.md	# Stage15-6df — exact moving gcd structure of the double-eliminant sign factors		SR-STR-200:71, SR-STR-202:46, SR-STR-185:34, SR-STR-104:32, SR-STR-078:31
SRC-1D5A4EE8F504	stages/stage15/15-6dg/result.md	# Stage15-6dg — normalized double-factor incidence and deterministic sparsity test		SR-STR-200:48, SR-STR-222:45, SR-STR-194:42, SR-STR-225:42, SR-STR-202:41
SRC-80992226ED93	stages/stage15/15-6dh/result.md	# Stage15-6dh — negative-certificate closure and reconstructed-graph dispersion promotion	The reconstructed-graph exhaustive ledger from 6dc is preserved. With deterministic graph sparsity now tested and blocked as a standalone exponent source, promote	SR-STR-222:56, SR-STR-169:40, SR-STR-200:37, SR-STR-219:37, SR-STR-190:36
SRC-2DA648A69EB7	stages/stage15/15-6di/result.md	# Stage15-6di — exact reconstructed-graph packet and discrepancy		SR-STR-222:59, SR-STR-200:46, SR-STR-205:37, SR-STR-219:34, SR-STR-225:34
SRC-F9492650AEEB	stages/stage15/15-6dj/result.md	# Stage15-6dj — repaired orientation-mean decomposition and occupancy gate		SR-STR-200:37, SR-STR-222:35, SR-STR-173:27, SR-STR-190:23, SR-STR-164:22
SRC-F38F68E4672C	stages/stage15/15-6dk/result.md	# Stage15-6dk — EXHAUSTIVE_VIEW_AUDIT of the modulus-occupancy-bias receiver		SR-STR-222:84, SR-STR-200:46, SR-STR-169:38, SR-STR-219:38, SR-STR-208:36
SRC-EB07727BF595	stages/stage15/15-6dl/result.md	# Stage15-6dl — BLIND_REDISCOVERY, occupancy route selection, and corrected delta ledger		SR-STR-222:47, SR-STR-099:28, SR-STR-213:28, SR-STR-224:28, SR-STR-166:27
SRC-9E53CD18162A	stages/stage15/15-6dm/result.md	# Stage15-6dm — exact decorated expansion of the centered occupancy second moment		SR-STR-222:49, SR-STR-200:36, SR-STR-190:29, SR-STR-219:29, SR-STR-225:26
SRC-8AB409FF2AC0	stages/stage15/15-6dn/result.md	# Stage15-6dn — centered pair-resultant energy test and rigorous negative certificate		SR-STR-222:48, SR-STR-209:44, SR-STR-173:36, SR-STR-096:32, SR-STR-122:32
SRC-FD40AD02A2D8	stages/stage15/15-6do/result.md	# Stage15-6do — exact character/Ramanujan occupancy-dispersion promotion		SR-STR-222:57, SR-STR-200:49, SR-STR-209:39, SR-STR-190:36, SR-STR-205:36
SRC-F9E47EE0A403	stages/stage15/15-6dp/result.md	# Stage15-6dp — exact whole-family character large-sieve / dual receiver		SR-STR-166:48, SR-STR-225:40, SR-STR-200:39, SR-STR-222:34, SR-STR-224:33
SRC-6FE69B71BB69	stages/stage15/15-6dq/result.md	# Stage15-6dq — updated Arsenal adapter audit for the character receiver		SR-STR-222:124, SR-STR-225:88, SR-STR-209:56, SR-STR-130:52, SR-STR-140:52
SRC-FA03368C2FA7	stages/stage15/15-6dr/result.md	# Stage15-6dr — character large-sieve negative certificate and next preserved route		SR-STR-209:63, SR-STR-222:62, SR-STR-225:49, SR-STR-166:44, SR-STR-224:43
SRC-83F13A47EA0D	stages/stage15/15-6ds/result.md	# Stage15-6ds — split survivor core: k=1 factor branch and squarefree k>1 Pell branch		SR-STR-200:58, SR-STR-090:48, SR-STR-166:44, SR-STR-194:44, SR-STR-206:44
SRC-A977E43D0137	stages/stage15/15-6dt/result.md	# Stage15-6dt — branchwise same-measure test for k=1 factor and k>1 Pell receivers		SR-STR-222:80, SR-STR-200:70, SR-STR-166:60, SR-STR-159:56, SR-STR-204:56
SRC-B3E2C8B162BC	stages/stage15/15-6du/result.md	# Stage15-6du — union exhaustive/blind audit after k=1 versus k>1 repair	| Local valuations / fixed-prime sieve | Can reject factor-gap configurations | Can reject recurrence classes | LIVE QUALITATIVE BACKUP; AR-035 lacks same-measure effective adapter |	SR-STR-222:68, SR-STR-200:58, SR-STR-099:48, SR-STR-166:48, SR-STR-213:44
SRC-4022500A1EE1	stages/stage15/15-6dv/result.md	# Stage15-6dv — exact cell-normalized residual switch and comparison with 6cf/6ci		SR-STR-089:36, SR-STR-214:28, SR-STR-090:24, SR-STR-147:20, SR-STR-161:20
SRC-B6A95F9D81D3	stages/stage15/15-6dw/result.md	# Stage15-6dw — quantitative test and equivalence/negative certificate for the residual switch		SR-STR-222:56, SR-STR-165:35, SR-STR-089:33, SR-STR-166:32, SR-STR-213:32
SRC-8C23DCF57A23	stages/stage15/15-6dx/result.md	# Stage15-6dx — freeze residual-switch negative certificate, exhaustive/blind audit, and select the remaining local-overlap route		SR-STR-222:88, SR-STR-166:52, SR-STR-164:46, SR-STR-187:46, SR-STR-147:44
SRC-5CB902C4BE24	stages/stage15/15-6dy/result.md	# Stage15-6dy — exact fixed-prime squareclass acceptance on the reconstructed physical measure		SR-STR-222:72, SR-STR-145:70, SR-STR-187:70, SR-STR-200:54, SR-STR-219:50
SRC-555D6151B564	stages/stage15/15-6dz/result.md	# Stage15-6dz — fixed-modulus congruence-refined count on the same physical measure		SR-STR-187:83, SR-STR-222:72, SR-STR-216:62, SR-STR-219:52, SR-STR-223:51
