path	hits	snippets
stages/stage14/archive/tasks/14-e10/literature-adelic-sieve-audit.md	k3,manin,literature	# Stage14-e10 — literature audit for adelic state laws and completion sieves | The completion locus is the rational image of the degree-two Euler-brick/K3 cover of this toric surface. | Theorem 1.4 gives an asymptotic formula, with an effective error term and explicit dependence on the finite adelic neighbourhood, for rational points of bounded canonical toric anticanonical height lying in a standard adelic set.  The finite part may be open-closed.  The main theorem also establishes Manin--Peyre equidistribution for smooth proper split toric varieties whose anticanonical line bundle is globally generated. | The physical adelic norm is not silently identified with Huang's canonical toric norm.  The already-used Manin--Peyre metric invariance for a fixed anticanonical line bundle and the explicit e6 physical local densities provide the metric crosswalk.
stages/stage14/archive/tasks/14-e11/literature-explicit-sieve-audit.md	k3,manin,literature	# Stage14-e11 — literature audit for explicit thin-cover exponent and growing-prime sieve | The paper proves effective Manin--Peyre equidistribution for smooth proper split toric varieties with globally generated anticanonical bundle, develops a uniform Selberg sieve, and gives quantitative bounds for adelic images of fibrations. | E11 does not claim a new general Hilbert-irreducibility theorem.  Its only use is to read the already-proved toric estimate quantitatively for the fixed Stage14 Euler-brick K3 cover. | The current literature search did not locate this exact Stage14 physical-coordinate formulation.
stages/stage14/archive/tasks/14-e3/literature-asymptotic-audit.md	manin,literature,euler brick	# Stage14-e3 — literature-first asymptotic collision audit | ## 2. Batyrev–Tschinkel: Manin's conjecture for toric varieties | *Manin's conjecture for toric varieties*, Journal of Algebraic Geometry 7 (1998), 15–53; preprint arXiv:alg-geom/9510014. | Batyrev–Tschinkel prove the Manin asymptotic for rational points of bounded anticanonical height on arbitrary smooth projective toric varieties over number fields.
stages/stage14/archive/tasks/14-e9/literature-local-statistics-audit.md	manin,literature,euler brick	# Stage14-e9 — literature refresh for gcd/lcm and local-statistics control | Stage14-e3/e4/e6 already uses the split-toric Manin–Peyre framework. Huang's adelic equidistribution machinery is the natural theorem-level input if a later refinement computes limiting masses for explicit local valuation strata. | - René Peschmann, *Quartic reductions and elliptic obstructions for perfect Euler bricks*, arXiv:2604.09328. | - René Peschmann, *Exponent-one blockers and a Mordell-Weil construction of Euler bricks*, arXiv:2605.00573.
stages/stage20/20-60/audit.md	k3,space-diagonal,zero-density	The decomposition preserves the exact population contract: primitive/canonical `0<a<b<c`, `gcd(a,b,c)=1`, Euclidean cutoff `R<=B`, all three face diagonals integral, and no space-diagonal integrality requirement. | and the third-square condition is not treated as an independent Bernoulli event. The frozen Stage14-e8 interface identifies the resulting completion locus with the degree-two Euler-brick cover of the toric two-face base, whose normalized/minimal-resolution compactification is a K3 surface. | for odd primes. Fixed finite prime sets have the audited product survival law, yielding an independent zero-density mechanism. This local sieve is correctly not promoted to a true exponent or growing-prime quantitative bound. | This is not a matched growth law. The true exponent, asymptotic formula, sharp lower exponent and matching lower bound remain unresolved. The local blocker mechanis
stages/stage20/20-60/result.md	saunderson,k3,euler brick	## Causal layer B: quadratic-cover / K3 mechanism | Stage14-e8 proves that retaining the third-square equation gives a degree-two cover of the toric two-face base `Y=Bl_4(P1 x P1)` whose branch divisor has class `-2K_Y`; after normalization/minimal resolution the Euler-brick compactification is a K3 surface. | K3_COVER_PROVENANCE=Stage14-e8_PR_163 | Every Euler brick avoids every blocker. Fixed finite prime sets have product survival law, and the resulting two-limit argument reproves zero density inside the two-face ambient population. This local sieve explains systematic rarity, but by itself does not identify the true global exponent of `M_3(B)`.
stages/stage20/20-70/audit.md	saunderson,k3,space-diagonal	The final bundle now transcribes the complete Stage20-50a Saunderson construction in dependency order. For every even integer `m>=10`, with | The true exponent, matching lower bound, asymptotic formula/constant and square-root finite signal remain OPEN_GATES. The local blocker law, K3/thin-cover theorem, divisor envelope and explicit family are not double charged. `Stage18->Stage20` conditional thinning and independence/correlation remain owned by Stage26. No integral-space-diagonal condition or perfect-cuboid conclusion is introduced.
stages/stage20/20-70/result.md	saunderson,k3,space-diagonal	Stage14-e11 proves, under the same primitive/canonical Euclidean cutoff and with no space-diagonal integrality condition, | NUM-R01 is integral-space-diagonal prefiltered and therefore is not the Stage20 ambient Euler population. Its finite triple record is only a perfect-cuboid-intersection control and is not used as a Stage20 count or nonexistence argument. No new census is opened at checkpoint70. | 5. **Certified constructive lower theorem.** The Stage20-50a primitive Saunderson subfamily gives | 7. **Causal model.** The two-face shared-edge Pythagorean host acquires a structured third-face condition represented by a degree-two K3 cover; this is not modeled as an independent random-square filter.
stages/stage20/20-controller.json	saunderson,k3,space-diagonal	"population": "primitive/canonical Euler cuboids: exactly three integral face diagonals, no space-diagonal integrality requirement, R<=B", | "lower_bound_provenance": "20-50a Saunderson one-parameter primitive construction", | "causal_model": "two-face toric host -> degree-two K3 cover; exact local blockers explain rarity; Saunderson family certifies survival", | "arsenal_candidates": ["S20-W01_EXPLICIT_EULER_THIN_COVER_UPPER", "S20-W02_PRIMITIVE_SAUNDERSON_LOWER", "S20-W03_EULER_LOCAL_BLOCKER_LAW"],
stages/stage25/25-reentry-60/audit.md	saunderson,k3,manin	Combining the audited directional host asymptotic `M2,j~C_j B(log B)^5`, the Saunderson lower `M3>>B^(1/6)`, and the Stage20 upper `M3<<_eta B(log B)^(5-eta)` gives | For sufficiently large B the Saunderson lower gives M3(B)>0, so the exact cancellation | The Stage26 receiver is accepted as an interface, not as a Stage26 theorem: split 4A1 quartic-del-Pezzo raw host, degree-2 K3 third-face cover, exact raw-pair multiplicity adapter, local blocker law, current upper/lower envelope, and literal completion-rate observables. The true M3 exponent remains unknown and Stage26 remains blocked until phase70 handoff. | No independence multiplication of sieve/thin-cover savings is used, no fake Manin `(a,b)` subtraction is extended across the K3 cover, and no perfect-cuboid conclusion is claimed.
stages/stage25/25-reentry-70/discovery-ledger.md	saunderson,k3,manin	- `M3`: Saunderson `B^(1/6)` lower and thin-cover `B(log B)^(5-eta)` upper remain strongest; | - r011a is the strongest current explanation of Stage21/22 log powers, at geometric Manin-invariant level only; | CANDIDATES_REJECTED_WITH_REASON=P3_REOPEN_WITHOUT_NEW_INPUT;FAKE_K3_MANIN_SUBTRACTION;INDEPENDENCE_MULTIPLICATION
stages/stage25/25-reentry-70/weapon-delta.md	saunderson,k3,manin	### S25-W06 — geometric Manin transition ledger | - S20-W02 — primitive Saunderson lower; | - S25-W06 — source-side geometric transition ledger, under the K3-extension firewall. | K3_FAKE_MANIN_SUBTRACTION=false
stages/stage26/26-40/audit.md	k3,manin,space-diagonal	The mechanism ledger matches the audited Stage20 source: split 4A1 quartic del Pezzo host, `Bl_4(P1xP1)` resolution of Picard rank 6, degree-two K3 third-face cover, exact blocker masses `delta_2=2/9` and `delta_p=2(p-chi_4(p))/(p^2+6p+1)`, explicit Huang saving for every fixed eta<1/46, and the separate growing-prime Selberg bound. The two savings are correctly not multiplied. | Scope firewalls are accepted: the endpoint delta=1/46 is not proved; no exact logarithmic decay exponent, fixed power saving in B, M3 asymptotic, true M3 exponent, K3 Manin transfer, independence factorization, space-diagonal statement, or perfect-cuboid conclusion is claimed.
stages/stage26/26-40/result.md	saunderson,k3,manin	THIRD_FACE_TARGET=degree_2_K3_cover | The mechanism boundary is equally important: the third face is a thin degree-two K3-cover problem over the two-face toric host. The present proof does not identify a product of independent prime events, does not turn Picard-rank subtraction into a K3 counting theorem, and does not explain the true `M3` growth exponent. | Checkpoint50 should next record the strongest lower/construction ledger, centered on the primitive Saunderson family and what it does or does not say about the completion proportion. | K3_MANIN_TRANSFER=false
stages/stage26/26-60/audit.md	saunderson,k3,manin	The generalized Saunderson lower theorem is accepted. | Global injectivity is correctly not claimed. For every generalized-Saunderson input, `w^3` survives canonicalization as one of the three physical face diagonals of the output. Thus a fixed canonical Euler cuboid permits at most three candidate values of `w`. For each fixed `w`, the number of primitive Pythagorean leg pairs is bounded by the full two-squares representation count, and `r_2(w^2)<=4 tau(w^2)`. Since `w^3<=R<=B`, the divisor bound gives a maximum fiber `O_epsilon(B^epsilon)` for every fixed epsilon>0 after harmless rescaling of epsilon. Dividing `>>T^2`, with `T=floor((B/72)^(1/6))`, by this fiber proves | Firewalls remain intact: no M3 asymptotic; no true M3 exponent; no epsilon-free one-third lower; no K3 Manin transfer; no independence claim; no finite-data asymptotic inference; no perfect-cuboid conclusion. | GENERAL
stages/stage26/26-60/lower-registry.json	saunderson,k3,manin	"general_saunderson": { | "next_obstruction": "GENERAL_SAUNDERSON_FAMILY_VS_K3_THIN_COVER_UPPER" | "K3_Manin_transfer": false,
stages/stage26/26-60/result.md	saunderson,k3,manin	# Stage26-60 — generalized Saunderson two-parameter lower attack | Checkpoint40 gives the strongest certified upper family for the Euler stratum, while checkpoint50 isolates an explicit one-parameter Saunderson subfamily giving `M3(B) >> B^(1/6)`. The gap is still enormous. Checkpoint60 therefore tests whether the one-parameter specialization is an artificial bottleneck. | The Saunderson identities used by Stage20 require only a primitive Pythagorean triple | Thus the generalized Saunderson parameter space contributes order `T^2` primitive inputs before quotienting duplicate outputs.
stages/stage26/26-70/result.md	saunderson,k3,manin	Checkpoint60 hostile audit accepted the generalized two-parameter Saunderson lower: | The old `B^(1/6)` lower came from a one-parameter specialization of Saunderson. Restoring all primitive Pythagorean inputs gives quadratically many Euclidean parameter pairs. Global injectivity is unnecessary: `w^3` survives as one of the three physical face diagonals and each fixed `w` has only divisor-size many Pythagorean representations. The hostile audit accepted the resulting `B^(1/3-epsilon)` lower. | The upper mechanism remains the degree-two K3 third-face cover over the split `4A1` quartic-del-Pezzo/two-face host, with the exact local blocker law, separate growing-prime Selberg sieve, and Huang thin-cover saving. The sieve and thin-cover savings are not multiplied. | The lower mechanism is the generalized Saunderson two-parameter primitive Pythagorean family with divisor-size output fibers.
stages/stage26/26-70/self-contained-bundle.md	saunderson,k3,manin	For every fixed `epsilon>0`, the generalized Saunderson lower gives | The third-face-square condition is a degree-two K3 cover of the split `4A1` quartic-del-Pezzo two-face host. The current upper interface uses an exact local blocker, a separate growing-prime Selberg sieve, and a Huang thin-cover saving. Their savings are not multiplied. | K3_MANIN_TRANSFER=false
stages/stage26/26-controller.json	saunderson,k3,manin	"explicit_saunderson_count_accepted": true, | "general_saunderson_two_parameter_family": true, | "k3_manin_transfer_allowed": false,
docs/stage21-28-exploration-policy.md	literature,space-diagonal	8. **Literature and repository exploration.** Search by direct terminology, synonyms/notation, mathematical structural signatures, and dependency neighbors. A result should not be missed merely because an earlier task used different vocabulary. | - repository/literature search for a corrected or stronger result; | - `stages/euler-cuboid/E-1e/result.md` / PR #128: exact-one, no-space-diagonal asymptotic with explicit total and directional constants under the same Euclidean cutoff candidate. | - `stages/stage16s/final.md`: intrinsic ambient space-diagonal baseline with explicit constant.
docs/stage21-arsenal.md	manin,space-diagonal	## S21-W02 — One-face to space-diagonal transition law | NAME=one-face to space-diagonal transition law | for `q=ab,ac,bc`. The common chamber factor cancels, so the added space-diagonal condition creates no new leading direction-specific interaction. | Manin-invariant explanation is registered separately as S25-W06; it does not
docs/stage23-arsenal-promotion.md	space-diagonal,zero-density	The transition is therefore zero-density. | -> pair-overlap is zero-density in the Stage17 host | Use the transition theorem directly only when population, canonicalization, primitivity, cutoff, multiplicity and space-diagonal requirements match exactly. Preserve the distinction between the qualitative Stage17-host overlap explanation and the stronger inherited Stage19 half-power upper bound.
docs/stage25-arsenal-promotion.md	k3,manin	## S25-W06 — geometric Manin transition ledger | M1_MANIN_INVARIANTS=(2,2) | N1_MANIN_INVARIANTS=(1,4) | M2_MANIN_INVARIANTS=(1,6)
docs/structure-radar/source-manifest/part-0002.json	literature,q-research	"path": "stages/stage14/archive/docs/q-research/stage14-q7-summary.md", | "kind": "LITERATURE_RADAR", | "evidence_role": "PRIOR_LITERATURE_ANALYSIS", | "queue_group": "EXISTING_Q_LITERATURE",
docs/structure-radar/source-manifest/part-0004.json	literature,space-diagonal	"path": "stages/stage14/archive/docs/operations/stage14-num-alpha-space-diagonal-engine.md", | "path": "stages/stage14/archive/tasks/14-4dH-parallel-audit/literature.md",
stages/stage14/archive/docs/q-research/stage14-q-task-contract.md	literature,q-research	# 14-q — Stage14 literature radar invocation contract | explicit literature-only run or for a `DEFERRED_SCOPED` target frozen by XQ. | 1. read `stages/stage14/archive/docs/q-research/stage14-q-literature-radar-roadmap.md`; | 5. if a trigger exists, execute the next unused q-number, search current primary literature, classify each candidate `DIRECT / NEAR / BACKGROUND / BLOCKED`, write a falsifiable receiving-stage handoff, and open the scoped PR;
stages/stage14/archive/docs/q-research/stage14-q1-literature-ledger.md	k3,literature	# Stage14-q1 — Reconstructed Literature Ledger | STAGE14_Q1=COMPLETE_RECONSTRUCTED_LITERATURE_LEDGER | BASELINE_BRANCH=agent/stage14-literature-radar | This file reconstructs PR #185 into a durable Stage14-q ledger. The old literature radar was useful but tied to an earlier frontier. q1 preserves the verified weapons and negative results, then remaps them to the current Stage14 frontiers:
stages/stage14/archive/docs/q-research/stage14-q11-summary.md	literature,q-research	STAGE14_Q11=COMPLETE_NEARMAX_PYTHAGOREAN_CORRELATION_LITERATURE_RADAR | STRICT_SUBSQRT_POWER_SAVING_FROM_LITERATURE_PROVED=false | ## Literature routing | Full radar: `stages/stage14/archive/docs/q-research/stage14-q11-nearmax-pythagorean-correlation-literature-radar.md`.
stages/stage14/archive/docs/q-research/stage14-q3-small-point-height-literature.md	k3,literature	# Stage14-q3 — Small-point / First-point Height Literature Pass | STAGE14_Q3=COMPLETE_SMALL_POINT_FIRST_POINT_HEIGHT_LITERATURE_PASS | NEXT_Q_STAGE=Stage14-q5 K3/lattice computational refresh | Therefore the height literature naturally splits the family according to the radical ratio
stages/stage14/archive/docs/q-research/stage14-q4-squareclass-collision-literature.md	literature,euler brick	# Stage14-q4 — Global squareclass / collision literature pass | STAGE14_Q4=COMPLETE_GLOBAL_SQUARECLASS_COLLISION_LITERATURE_PASS | This q4 pass asks whether the literature already contains a theorem or proof architecture that controls this kind of moving squareclass collision energy. | This changes the literature priority. The closest human technology is no longer generic Selmer-distribution theory. It is first:
stages/stage14/archive/docs/q-research/stage14-q5-shimada-k3-lattice-refresh.md	k3,literature	# Stage14-q5 — Shimada K3 / lattice computational refresh | STAGE14_Q5=COMPLETE_SHIMADA_K3_LATTICE_REFRESH | EXACT_OBSTRUCTION=determine whether any unused level-4 K3/lattice literature or machine data still closes a live Stage14 gap | Stage14-q5 refreshes the geometric/lattice literature radar after the Stage14-4 main line moved far beyond the original PR #185 Shimada handoff. The question is narrow:
stages/stage14/archive/docs/q-research/stage14-q5-shimada-k3-refresh.md	k3,literature	# Stage14-q5 — Shimada K3 / lattice computational refresh | STAGE14_Q5=COMPLETE_SHIMADA_K3_LATTICE_REFRESH | PRIMARY_GEOMETRIC_WEAPON=Shimada level-4 modular K3 lattice/automorphism package | Stage14-q5 audits whether the Shimada level-4 modular K3 computation package still contains an unused geometric weapon capable of advancing the current Stage14-4 frontier, or whether that package has already been consumed by the earlier M-degree-4 bisection classification.
stages/stage14/archive/docs/q-research/stage14-q6-cross-track-weapon-routing.md	k3,literature	Stage14-q6 converts the focused literature passes q2--q5 into an explicit routing matrix for the active Stage14 proof and numerical tracks. The goal is to prevent two common failures: | - q2, q3, q4, and q5 are merged literature-radar results. | q4 correctly identified square/polynomial sieve as the first literature family to test once the collision problem is written as a genuine non-square polynomial-value problem. However, draft t21 has now changed the immediate shape of the obstruction: fixed partition/direction/scale is explicit, and the missing power saving lies in simultaneous two-face completion counts along generalized-Pell-type directions. | Reopen only if the t-route parameterization produces a genuine fixed elliptic-twist or otherwise literature-compatible family. Do not prefer generic Selmer language over the explicit direction/scale/completion problem currently available.
stages/stage14/archive/docs/q-research/stage14-q7-negative-results-archive.md	k3,literature	Stage14-q7 freezes the durable negative knowledge accumulated by the literature-radar route and the Stage14 proof tracks through the latest merged q6/s5l/t22 frontier. | BROAD_UNTRIGGERED_LITERATURE_SEARCH_ALLOWED=false | **FALSE INFERENCE PREVENTED:** the whole state-split `m^2+n^2` sector remains one unresolved `D*S` block requiring immediate deep modular-root literature. | **REOPEN TRIGGER:** none for the central region. Reopen literature only for a named failure of the boundary-strip complementary-state/Fourier rewrite.
stages/stage14/archive/docs/q-research/stage14-q8-cross-domain-transfer-radar.md	k3,literature	The new 2025 neutraliser estimate is the more natural literature transfer for the actual one-small-variable boundary. | The square-sieve / hyperelliptic-fibration literature remains useful as architecture if the separated character-sum route leaves a genuine geometric residual problem, but q8 does not promote such a result directly. | q8 does **not** recommend a new independent literature branch for `14-4` at this moment. | MAIN_14_4_NEW_LITERATURE_SCAN_REQUIRED=false
stages/stage14/archive/docs/q-research/stage14-q8-summary.md	k3,literature	q7 parked the literature route until a live proof track exposed a stable named obstruction. Two such triggers now exist: | So q8 is a focused transfer pass, not a broad literature sweep. | - new K3/Shimada scan: no new geometric trigger; 14-4 should import s5n first;
stages/stage14/archive/tasks/14-e4/literature-directional-audit.md	manin,literature	# Stage14-e4 — literature-first directional distribution audit | The literature gate remains: | Huang proves the Manin--Peyre equidistribution principle for smooth proper split toric varieties over `Q`, with effective asymptotic formulas for rational points in arbitrary adelic neighbourhoods. | ## 3. Batyrev--Tschinkel, toric Manin asymptotics
stages/stage14/archive/tasks/14-e6/literature-constant-audit.md	manin,literature	# Stage14-e6 — literature-first audit for the explicit ambient constant | The literature gate remains | ## 1. Batyrev--Tschinkel — toric Manin asymptotic | Victor V. Batyrev and Yuri Tschinkel, *Manin's conjecture for toric varieties*, J. Algebraic Geom. 7 (1998), 15--53; arXiv:alg-geom/9510014.
stages/stage14/archive/tasks/14-t1/literature-triple-audit.md	literature,euler brick	# Stage14-t1 — literature boundary for the moving triple family | René Peschmann, *Quartic reductions and elliptic obstructions for perfect Euler bricks*, arXiv:2604.09328.
stages/stage14/archive/tasks/14-t3/literature-humbert-audit.md	literature,euler brick	# Stage14-t3 — literature audit for Humbert-Edge and elliptic-factor structure | René Peschmann, *Quartic reductions and elliptic obstructions for perfect Euler bricks*, arXiv:2604.09328. | René Peschmann, *Exponent-one blockers and a Mordell-Weil construction of Euler bricks*, arXiv:2605.00573. | The literature clearly contains the general Humbert--Edge decomposition and recent perfect-cuboid elliptic-quotient strategies. Stage14-t3 therefore makes no novelty claim for either ingredient in isolation.
stages/stage14/literature/14-4.md	k3,literature	# Literature radar — 14-4 | Current frontier: classify `Q`-rational physical `M`-degree-4 bisections on the Stage14 Kummer/K3 surface and determine whether they account for the observed `sqrt(B)` first-hit signal. | ### Shimada — level-4 modular K3 computational package | - Gives: the exact rank-20 Neron--Severi coordinate system and automorphism/fibration data for the same level-4 modular K3 used in `14-4ag`.
