sid	path	top_reviewed_neighbors
SRC-D6AC0B3B11B9	stages/stage13/manifest-r07.md	31.5|SRC-6D6C2B609695|stages/stage15/manifest-r01.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 15.6|SRC-705BD2A82D40|stages/stage15/15-7c/result.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 14.7|SRC-F30917B4BF13|stages/stage14/archive/tasks/14-t143/result.md|SR-STR-222; 14.6|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004; 14.4|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216
SRC-5C184D934DA1	stages/stage13/scripts/13-13fo/README.md	54.7|SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217; 48.1|SRC-88BE6A73D6E6|stages/stage14/data/14-num-alpha11-diag10/README.md|SR-STR-034; 44.9|SRC-7CE38CB1702B|stages/stage15/README.md|SR-STR-001,SR-STR-039,SR-STR-144; 15.2|SRC-3BDB42818D96|stages/stage23/23-70/self-contained-bundle.md|SR-STR-152; 15.1|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216
SRC-402DCABCDE9F	stages/stage02/data/geometry/audit_report.json	26.4|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 18.5|SRC-1FFB9616D1F7|stages/stage14/data/14-t26/complete_large_prime_routing.json|SR-STR-162,SR-STR-163,SR-STR-165; 18.1|SRC-A0641BDCBDF2|stages/stage14/data/14-3/directional_ledger.json|SR-STR-154; 18.0|SRC-84FA913400FE|stages/stage14/data/14-t20/edge_collision_factorization.json|SR-STR-038,SR-STR-164; 18.0|SRC-3826E1556427|stages/stage14/data/14-2/final_census_audit.json|SR-STR-154
SRC-8D574AE4EE9D	stages/stage02/data/kummer/classification.json	8.5|SRC-ACB32921FE49|stages/stage14/data/14-4/specialization_triple_audit.json|SR-STR-223; 8.4|SRC-CD4034944FA7|stages/stage14/data/14-num4/unified_fingerprint_manifest.json|SR-STR-014,SR-STR-035; 7.8|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 7.3|SRC-2873B5102F04|stages/stage15/evidence/stage15_6bn_huang_audit.json|SR-STR-102; 7.3|SRC-1DAFF98816D2|stages/stage15/evidence/stage15_6aw_nontorsion_audit.json|SR-STR-162,SR-STR-195
SRC-7A9C7FB97017	stages/stage02/data/kummer/report.json	12.7|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 12.7|SRC-931EAC39437C|stages/stage15/evidence/stage15_6bt_sieve_audit.json|SR-STR-017,SR-STR-216; 12.3|SRC-F20094751CFB|stages/stage14/archive/docs/q-research/stage14-q4-squareclass-collision-literature.md|SR-STR-164; 12.2|SRC-46D087F3B3F9|stages/stage14/archive/tasks/14-s7-01/result.md|SR-STR-162; 12.1|SRC-E06FD058F102|stages/stage14/archive/tasks/14-s2/result.md|SR-STR-114
SRC-7FED276095BC	stages/stage03/data/focus_lambda_16_21_report.json	13.3|SRC-155C43A57E80|stages/stage25/25-60/r504-full-split-prym-generic-hostile-audit.md|SR-STR-015; 12.8|SRC-931EAC39437C|stages/stage15/evidence/stage15_6bt_sieve_audit.json|SR-STR-017,SR-STR-216; 12.6|SRC-A340A5D2DF55|stages/stage27/27-19-r402b/audit.md|SR-STR-067,SR-STR-068,SR-STR-073,SR-STR-074; 12.5|SRC-BFD0D15BC8A7|stages/stage14/archive/tasks/14-s3/result.md|SR-STR-162; 12.5|SRC-76D3154ADE04|stages/stage27/27-20-r301i/result.md|SR-STR-106,SR-STR-111
SRC-71D79945F189	stages/stage03/data/relations.json	8.2|SRC-03D1CDB8CBEF|stages/stage14/data/14-4/height_rank_audit.json|SR-STR-156,SR-STR-162; 7.5|SRC-39E4B7F4AAD4|stages/stage15/evidence/stage15_6ay_complete_2descent.json|SR-STR-162,SR-STR-163,SR-STR-175; 7.4|SRC-ACB32921FE49|stages/stage14/data/14-4/specialization_triple_audit.json|SR-STR-223; 7.3|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 6.7|SRC-7AD261CFDBFD|stages/stage27/27-20-r301r/source-justification.md|SR-STR-116
SRC-6B09EF34312D	stages/stage03/data/report.json	15.0|SRC-8B3B8A53E63F|stages/stage14/archive/tasks/14-s6-02/result.md|SR-STR-175; 15.0|SRC-BFD0D15BC8A7|stages/stage14/archive/tasks/14-s3/result.md|SR-STR-162; 14.1|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 13.8|SRC-C1B5B9E7B8C3|stages/stage15/15-6ax/result.md|SR-STR-162; 13.6|SRC-3EDF8CE45706|stages/stage14/archive/tasks/14-4ar/result.md|SR-STR-191
SRC-981937031913	stages/stage04/data/all_fibers_pari_report.json	8.0|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 7.6|SRC-118806284D2F|stages/stage15/evidence/stage15_6bb_rational_reciprocal.json|SR-STR-163,SR-STR-164; 7.4|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 7.4|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202; 7.4|SRC-6F52439F7C39|stages/stage15/evidence/stage15_6bx_gcd_moment_gate.json|SR-STR-215
SRC-F60ED545F569	stages/stage04/data/pari_rank_report.json	12.1|SRC-118806284D2F|stages/stage15/evidence/stage15_6bb_rational_reciprocal.json|SR-STR-163,SR-STR-164; 11.7|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 11.2|SRC-57C37F668508|stages/stage14/data/14-4/zero_mode_conditional_uplift_summary.json|SR-STR-205; 11.2|SRC-4C19EDD2C45C|stages/stage14/data/14-4/principal_density_localization_summary.json|SR-STR-204,SR-STR-205; 11.0|SRC-4FA9492F2BA7|stages/stage14/data/14-4/reciprocal_edwards_reduction_summary.json|SR-STR-199
SRC-6AD2C34282FB	stages/stage05/data/report.json	7.1|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 6.8|SRC-82DE51BE6F99|stages/stage14/data/14-s4a/active_fingerprint_summary.json|SR-STR-114,SR-STR-162; 6.4|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 6.4|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202; 6.4|SRC-6F52439F7C39|stages/stage15/evidence/stage15_6bx_gcd_moment_gate.json|SR-STR-215
SRC-E2705C302CA6	stages/stage06/data/height_report.json	7.2|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 7.0|SRC-ACB32921FE49|stages/stage14/data/14-4/specialization_triple_audit.json|SR-STR-223; 6.9|SRC-03D1CDB8CBEF|stages/stage14/data/14-4/height_rank_audit.json|SR-STR-156,SR-STR-162; 6.5|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 6.5|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202
SRC-38034ED4EE23	stages/stage07/data/inverse_height_report.json	8.6|SRC-ACB32921FE49|stages/stage14/data/14-4/specialization_triple_audit.json|SR-STR-223; 8.4|SRC-BFD0D15BC8A7|stages/stage14/archive/tasks/14-s3/result.md|SR-STR-162; 8.4|SRC-76D3154ADE04|stages/stage27/27-20-r301i/result.md|SR-STR-106,SR-STR-111; 7.7|SRC-03D1CDB8CBEF|stages/stage14/data/14-4/height_rank_audit.json|SR-STR-156,SR-STR-162; 7.7|SRC-C93D2907ABA6|stages/stage14/data/14-4/elliptic_fiber_audit.json|SR-STR-162,SR-STR-219
SRC-C23AF38A9114	stages/stage08/data/local_sieve_report.json	18.1|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 15.4|SRC-B2F05B47D53B|stages/stage14/archive/tasks/14-s7-00/result.md|SR-STR-162,SR-STR-219; 15.0|SRC-E06FD058F102|stages/stage14/archive/tasks/14-s2/result.md|SR-STR-114; 14.7|SRC-1F4B55B19D82|stages/stage14/archive/tasks/14-s6-01/result.md|SR-STR-175,SR-STR-185; 14.6|SRC-2C574A4760B0|stages/stage14/archive/tasks/14-s6-00/result.md|SR-STR-162
SRC-87CFB0F83F45	stages/stage09/data/divisor_chain_report.json	15.3|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 14.0|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 13.5|SRC-ECD2752AE235|stages/stage14/data/14-num-alpha11-diag6/matched_one_two_summary.json|SR-STR-034; 13.1|SRC-314E0A1266DA|stages/stage14/archive/tasks/14-t21/result.md|SR-STR-164,SR-STR-219; 12.5|SRC-2C574A4760B0|stages/stage14/archive/tasks/14-s6-00/result.md|SR-STR-162
SRC-5907E78C3E75	stages/stage10/data/lower_bound_report.json	17.5|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 15.1|SRC-BB219F21BA98|stages/stage14/archive/tasks/14-s6-06/result.md|SR-STR-177; 14.7|SRC-314E0A1266DA|stages/stage14/archive/tasks/14-t21/result.md|SR-STR-164,SR-STR-219; 14.6|SRC-1D0F810B4406|stages/stage25/25-50/r501-parametric-positive-power.md|SR-STR-008; 14.5|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155
SRC-90B50FAB1456	stages/stage11/data/convolution_report.json	17.4|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 15.1|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 13.4|SRC-3461E40D2E98|stages/stage14/data/14-2/historical_reproduction_report.json|SR-STR-014; 11.6|SRC-54D56C8DA497|stages/stage14/data/14-t1/triple_gate_baseline.json|SR-STR-223; 11.5|SRC-DC3C94CCBE18|stages/stage14/data/14-t21/direction_scale_reduction.json|SR-STR-164,SR-STR-219
SRC-EA1F4CF84417	stages/stage12/archive/INDEX.md	14.7|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167; 14.7|SRC-70F8C8B4900B|stages/stage14/archive/docs/q-research/stage14-q13-correlation-only-literature-radar.md|SR-STR-169; 14.0|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 13.9|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 13.9|SRC-40319F0D4BD8|stages/stage14/archive/tasks/14-t58/result.md|SR-STR-169,SR-STR-225
SRC-3832AB40204C	stages/stage12/archive/data/2/hyperbola_report.json	17.1|SRC-1678D51CBBB9|stages/stage14/archive/docs/q-research/stage14-q12-gaussian-norm-collision-literature-radar.md|SR-STR-168; 15.7|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 15.4|SRC-76690A486012|stages/stage14/archive/tasks/14-t25/result.md|SR-STR-162,SR-STR-163; 15.3|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 15.1|SRC-314E0A1266DA|stages/stage14/archive/tasks/14-t21/result.md|SR-STR-164,SR-STR-219
SRC-34673609A28E	stages/stage12/archive/data/2b/average_report.json	14.1|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 13.6|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 12.8|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 12.7|SRC-55D1FC6E2569|stages/stage14/archive/tasks/14-s5i/result.md|SR-STR-161; 12.3|SRC-ACDE4038B8C4|stages/stage14/archive/tasks/14-4bv/result.md|SR-STR-186
SRC-7C37EC35394A	stages/stage12/archive/data/2c/gao_zhao_report.json	17.9|SRC-ACDE4038B8C4|stages/stage14/archive/tasks/14-4bv/result.md|SR-STR-186; 17.8|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 17.4|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 16.7|SRC-9CB89872C4D8|stages/stage14/archive/tasks/14-s7-31/result.md|SR-STR-201; 16.7|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167
SRC-C0BBF7965361	stages/stage12/archive/data/2d/modular_hyperbola_report.json	27.8|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 24.0|SRC-55D1FC6E2569|stages/stage14/archive/tasks/14-s5i/result.md|SR-STR-161; 23.1|SRC-70F8C8B4900B|stages/stage14/archive/docs/q-research/stage14-q13-correlation-only-literature-radar.md|SR-STR-169; 22.9|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 22.9|SRC-9F4FE1DABC56|stages/stage14/archive/tasks/14-s5p/result.md|SR-STR-192
SRC-F862D39ACDBC	stages/stage12/archive/data/2e/divisor_dyadic_report.json	26.6|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 25.9|SRC-55D1FC6E2569|stages/stage14/archive/tasks/14-s5i/result.md|SR-STR-161; 24.7|SRC-3ED693604377|stages/stage14/archive/tasks/14-s5m/result.md|SR-STR-161,SR-STR-193; 24.5|SRC-34E86A5D80FE|stages/stage14/archive/tasks/14-s5u/result.md|SR-STR-192,SR-STR-193,SR-STR-218; 24.4|SRC-2EA2EF0A685A|stages/stage14/archive/tasks/14-s5r/result.md|SR-STR-193
SRC-340C394FDF50	stages/stage12/archive/data/2f/main_term_report.json	17.5|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 17.2|SRC-B0751E43345B|stages/stage20/final.md|SR-STR-146,SR-STR-147; 16.6|SRC-34E86A5D80FE|stages/stage14/archive/tasks/14-s5u/result.md|SR-STR-192,SR-STR-193,SR-STR-218; 16.5|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 15.7|SRC-55D1FC6E2569|stages/stage14/archive/tasks/14-s5i/result.md|SR-STR-161
SRC-8EA6ED4AAF43	stages/stage12/archive/data/2g/uniform_error_report.json	22.2|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 22.1|SRC-34E86A5D80FE|stages/stage14/archive/tasks/14-s5u/result.md|SR-STR-192,SR-STR-193,SR-STR-218; 21.7|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 21.4|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167; 21.2|SRC-9F4FE1DABC56|stages/stage14/archive/tasks/14-s5p/result.md|SR-STR-192
SRC-D5BD149F3FC9	stages/stage12/archive/data/2h/poisson_split_report.json	23.7|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 23.7|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 23.3|SRC-34E86A5D80FE|stages/stage14/archive/tasks/14-s5u/result.md|SR-STR-192,SR-STR-193,SR-STR-218; 22.9|SRC-9F4FE1DABC56|stages/stage14/archive/tasks/14-s5p/result.md|SR-STR-192; 22.8|SRC-2EA2EF0A685A|stages/stage14/archive/tasks/14-s5r/result.md|SR-STR-193
SRC-7C024C9B1071	stages/stage12/archive/data/2i/exponent_budget_report.json	18.0|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 17.5|SRC-2EA2EF0A685A|stages/stage14/archive/tasks/14-s5r/result.md|SR-STR-193; 17.1|SRC-34E86A5D80FE|stages/stage14/archive/tasks/14-s5u/result.md|SR-STR-192,SR-STR-193,SR-STR-218; 16.7|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167; 16.2|SRC-9B1AEF820559|stages/stage14/archive/tasks/14-s7-49/result.md|SR-STR-204
SRC-1917E70AEDBD	stages/stage12/archive/data/2j/boundary_layers_report.json	19.6|SRC-B52B88436C95|stages/stage14/archive/tasks/14-s5n/result.md|SR-STR-161; 18.9|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 18.6|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167; 18.5|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 18.4|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032
