id	name	object
SR-STR-017	Euler third-face local blocker law and dimension-two sieve	For x^2+y^2=square, delta_2=2/9 and delta_p=2(p-chi_4(p))/(p^2+6p+1)=2/p+O(p^-2).
SR-STR-018	Matched face-space population cross-ratio invariant	I=(N2/M2)/(N1/M1)=N2*M1/(M2*N1) on matched populations; I>>B^(1/4)(log B)^(-7).
SR-STR-019	Nested divisor-root first-moment receiver	Nested divisors t_p|m°, t_q|m°, f|t_pt_q plus two moving quadratic roots need a uniform every-cell first moment.
SR-STR-020	Safe-range fixed-residue Gaussian-prime sector occupancy	In Q(i), one residue modulo d in a fixed D4 sector has pointwise long-interval occupancy inside the Kai/Mitsui range.
SR-STR-021	Super-Kai individual Gaussian-residue occupancy gate	Beyond the Kai envelope there is no audited unconditional every-residue lower-density theorem, even for d=B^o(1).
SR-STR-022	Scalar host versus factor-pair measure separation	A divisor-many n=Em map does not replace an (E,m) measure while pair-dependent filters remain.
SR-STR-023	Conditioned-kernel measure firewall	Identical inner reciprocal-CRT equations under different outer conditioning do not transfer savings.
SR-STR-024	Valuation-reduced character recombination receiver	Valuation strata reduce to Q_nu,rho_nu and principal mass plus aggregate nonprincipal characters.
SR-STR-025	Target-class mass countermodel	Total mass and L1/L2 Fourier identities may hold while a designated target residue has zero mass.
SR-STR-026	Averaged-versus-every-cell exceptional-set firewall	An averaged theorem needs an exceptional-set bridge in the same charged physical measure before pointwise reuse.
SR-STR-027	Weighted coprime rectangle convolution	Factor a two-variable coprime sum into one-variable series and a controlled cross correction.
SR-STR-028	Core-wing-shallow boundary separation	Separate small-coordinate wings and shallow-height sectors before smooth core transfer.
SR-STR-029	Fixed-prime overlap sieve with ordered limits	Use every fixed finite inert-prime set, take B to infinity, then grow the set to prove overlap little-o.
SR-STR-030	Ordered-chamber Gelfand-Leray directional transfer	Integrate coarea density over 0<a<b<c chambers to obtain directional constants.
SR-STR-031	Finite-order Selberg-Delange theorem contract	For F(s)=zeta(s)^zH(s), verify factorization, analytic region, growth and coefficient majorants.
SR-STR-032	Exact shared-hypotenuse representation convolution	For x^2+y^2=p^2 and p^2+c^2=d^2, C_raw=2 sum H(p)L_B(p), then correct primitive multiplicity separately. Stage14-t2 further gives a quantitative Pythagorean-chain envelope on the moving triple correction, with the strongest frozen global boundary T(B)=o(B(log B)^3); this is not a square-root or strict sub-square-root theorem and moving-base summation remains the obstruction.
SR-STR-033	Mod-7 two-parameter exactly-one-face family	Coprime m=2 mod14,n=1 mod14 give a primitive integral-space exactly-one family with N1(B)>>B^(1/2).
SR-STR-034	Matched second-face survival diagnostic	Compare matched finite exactly-one sources and exactly-two survivors under one cutoff and orientation.
SR-STR-035	Local-class and face-graph cluster diagnostic panel	Condition the frozen N2 census on congruence classes, repeated diagonals and graph clusters.
SR-STR-036	Primitive Euclid face decomposition	An integral right-triangle face with a distinguished leg has a unique scale times primitive Euclid certificate.
SR-STR-037	Exact two-face gluing with multiplicity one	Two primitive oriented Pythagorean faces glued on a common physical leg reconstruct a primitive canonical cuboid without hidden scale multiplicity.
SR-STR-038	Raw-pair face-incidence graph identity	E(B)=N2(B)+3T(B)=1/2 sum_F deg_B(F), hence N2(B)<=E(B), on the Stage14 integral-space raw-incidence graph. Stage14-t20 corrects the triple-collision measure to raw-pair edges: for kappa(e)=[d^2-s^2], the trivial class has n_1(B)=3T(B), hence 9T(B)^2<=Q_edge(B). This is an exact population identity, not a collision saving.
SR-STR-039	Stage14 integral-space exactly-two half-power upper theorem	For primitive canonical 0<a<b<c with integral d<=B and exactly two integral faces, N2(B)<<B^(1/2+o(1)).
SR-STR-040	Consumed and superseded asset recharge discipline	Each support, core and fiber is charged once; superseded theorems retain valid lemmas but consumed data cannot be recharged.
SR-STR-041	Oriented-record to canonical face-incidence projection	Oriented face records project with exact factor two to canonical face incidences, with one/two/three-face overlaps corrected separately.
SR-STR-042	Physical restrictions as monotone post-filters for upper bounds	Positivity, ordering, primitivity, parity, space square and exact face masks may only reduce a proved algebraic superset upper bound.
SR-STR-043	Common-core decomposition and high-core emptiness	A common Cayley core divides endpoint products; surviving nonproportional fixed-power cells satisfy core exponent chi<=1/4.
SR-STR-044	Primitive Gaussian root-line lattice count	Count primitive (U,V) on quadratic CRT root lines C0|a0^2U^2+b0^2V^2 without a crude boundary loss.
SR-STR-045	Primitive-ratio rigidity and one-pair reconstruction	One primitive agreement pair determines the opposite agreement product and moving root product up to divisor-many fibers.
SR-STR-046	Endpoint-linear column reconstruction	Reduced endpoint forms L_-=J_-h_- and L_+=J_+h_+ reconstruct the column variable M with quantified short support.
SR-STR-047	Reverse reciprocal difference-of-squares reconstruction	For fixed (U,V,M), two coupled difference-of-squares factorizations leave only divisor-many completions.
SR-STR-048	CRT row lift as post-reconstruction filter	After reverse reconstruction fixes divisor-many row candidates, CRT congruences only reject candidates and add no independent support power.
SR-STR-049	Fixed-outer common-gcd square-divisor adapter	The odd common gcd of a quadratic root pair has square dividing already-fixed outer data, so only divisor-many gcd choices remain.
SR-STR-050	Proportional four-cell root-gcd transfer	In the proportional branch, same-side and cross-side Gaussian root gcds force square divisibility and give a sub-half-power branch bound.
SR-STR-051	Polynomially bounded divisor and finite-fiber adapter	For nonzero n<=B^C, divisor-many choices or uniformly finite fixed-degree fibers cost only B^o(1).
SR-STR-052	Gaussian quotient and cross-resultant dictionary	Separate self-generated Gaussian root data from cross-point congruence information carried by quotients and resultants. Stage14-t68 sharpens the cross-resultant dictionary: after mutually Cayley-private conditioning, a canonical prime divides a cross resultant exactly when it appears as an extra divisor of the partner Cayley factor. Removing those contaminated pairs leaves no generic canonical-prime cross-resultant modulus, so the dictionary is a no-go boundary rather than a fresh saving.
SR-STR-053	Cayley-Gaussian squareclass orientation split	Primewise Gaussian orientations split one common core into same/opposite support corresponding to C_-|M-N and C_+|M+N without double charge.
SR-STR-054	Reciprocal divisor-CRT kernel	The stable q17 inner problem consists of two coupled divisor choices, a factor-pair equation and two reciprocal CRT congruences.
SR-STR-055	Literal exactly-two-face space-diagonal subset contract	N2(B)=M2(B) intersect {R integral} under the same primitive canonical object measure and cutoff R<=B; B^(1/4)<<N2(B)<<_epsilon B^(1/2+epsilon).
SR-STR-056	Parameter-mass versus physical-height lower-family exponent calculus	If #Omega(T)>>T^(kappa-o(1)) and R<<T^(h+o(1)) with controlled fibers, then N2(B)>>B^(kappa/h-o(1)); beating 1/4 requires kappa/h>1/4.
SR-STR-057	Toric master space-diagonal receiver on the two-face host	For x=m/n and y=r/s, the space condition is x^2 y^2+1=z^2(x^2+y^2).
SR-STR-058	Split-factor nonisotrivial genus-one tau torsor	(x^2-z^2)(y^2-z^2)=z^4-1; after tau=(x^2-z^2)/(z^2-1), the generic physical fiber is a smooth nonisotrivial genus-one binary quartic over Q(tau).
SR-STR-059	Tau-adic parity obstruction to a rational section	On the generic tau-fiber over Q((tau)), the affine right side has even valuation while tau*V^2 has odd valuation; the infinity squareclass (tau+2)/tau is also nonsquare.
SR-STR-060	Constant-u bisection genus and physical-degeneration barrier	For u=c, S^2=tau(tau+c^2+1)(tau^2+(c-1)(c-3)tau+2(c-1)^2); rational c not in {0,1} gives genus one, while the obvious degree-two points lie on z^2=1 boundary.
SR-STR-061	Affine-linear moving-u multisection discriminant classification	For u=a*tau+b, S^2=tau G_tau(a*tau+b) is generically degree 6/genus 2; its rational discriminant components reduce to a=b, b=1, 4a^2-4ab-1=0, or F(a,b)=0, with the only rational simultaneous moving degeneration u=tau+1 on z=1.
SR-STR-062	Universal toric physical-height ledger and degree-eight saturation	Raw toric edges have degree 2d_x+2d_y; after common factor degree g the algebraic physical degree is h_alg=2d_x+2d_y-g. Both R501 and R502 have h_alg=8, so one-parameter progress requires h_alg<8.
SR-STR-063	Tau pushforward invariant and collision receiver	tau=(x^2-z^2)/(z^2-1)=(x^2+1)/(y^2-1)=s^2(m^2+n^2)/(n^2(r^2-s^2)); equal-tau points satisfy the corresponding cross-multiplied collision equation.
SR-STR-064	Support-times-max-fiber upper exponent gate	If #T(B)<=B^(sigma+o(1)) and max_t w_B(t)<=B^(phi+o(1)), then N2(B)<=B^(sigma+phi+o(1)); strict sub-half requires sigma+phi<1/2.
SR-STR-065	Support-energy upper exponent gate	If #T(B)<=B^(sigma+o(1)) and sum_t w_B(t)^2<=B^(eta+o(1)), then N2(B)<=B^((sigma+eta)/2+o(1)); strict sub-half requires sigma+eta<1.
SR-STR-066	Reduced tau height bound and height-only support no-go	For reduced positive toric representatives under R<=B, H(tau)<2B^2; rational-height counting gives no improvement over the certified B^(1/2+epsilon) support bound.
SR-STR-067	Fixed-tau ambient conic before the space-square filter	For reduced tau=p/q, the toric host before imposing integral space diagonal has fixed-tau conic p*y^2-q*x^2=p+q.
SR-STR-068	Pointwise subpower fiber bound versus uniform max-fiber firewall	For each fixed tau, w_B(tau)<<_tau(1+log B)^(rank(E_tau(Q))/2), but no rank-uniform max_tau bound follows; fiber control alone cannot cross the half-power support wall.
SR-STR-069	Reduced tau core-scale decomposition	Writing the reduced tau numerator and denominator as A=pg and D=qg gives the exact core bound g<2B^2/H(tau).
SR-STR-070	Full collision-energy diagonal barrier	The full tau energy satisfies E_tau=N2+C_tau and hence E_tau>=N2; inserting an ambient half-power estimate for E_tau cannot by itself prove a strict sub-half N2 bound.
SR-STR-071	Support/off-diagonal collision hybrid gate	With support S and off-diagonal collisions C, N2<=S+sqrt(S*C); if S<=B^sigma and C<=B^kappa, strict sub-half follows from sigma<1/2 and sigma+kappa<1.
SR-STR-072	Dyadic tau-height/core restart contract	On H(tau)~T, the common core satisfies g<<B^2/T and the band count obeys N_T<=S_T+sqrt(S_T C_T); strict sub-half requires uniform bandwise support/collision savings.
SR-STR-073	Space-filtered fixed-tau genus-one fiber	After fixing tau=p/q and restoring x^2*y^2+1=z^2*(x^2+y^2), the physical fixed-tau fiber is a smooth genus-one curve.
SR-STR-074	Physical-cutoff height transfer on a fixed-tau genus-one fiber	For fixed tau and physical R<=B, reconstructed coordinates satisfy H(z)<3B and H(u)<5B^(3/2), giving polynomial projective height on the fixed genus-one fiber.
SR-STR-075	Master-Hit Mordell-Weil Euler-brick blocker/generator candidate	Peschmann arXiv:2605.00573 supplies Master-Hit coordinates with exponent-one blockers and a Mordell-Weil construction mechanism for Euler bricks.
SR-STR-076	Matched finite M2-M3 completion panel	At common cutoffs B<=2000, exact primitive canonical no-space counts are joined by B and evaluated under H_ge2=M2+M3, P=M2+3M3, Phi=M3/H_ge2 and Theta=3M3/P.
SR-STR-077	Explicit one-parameter Saunderson coefficient floor	For even m>=10, R<31m^6 and F_S(B)=max(0,floor((B/31)^(1/6)/2)-4); hence liminf M3(B)/B^(1/6)>=1/(2*31^(1/6)).
SR-STR-078	Tau/core gcd square-factor normalization	For tau=p/q and core g, exact square-divisor choices reconstruct the fixed-(tau,g) core with uniform subpower multiplicity; same-core collisions cost subpower and distinct-g collisions remain.
SR-STR-079	Normalized space squareclass collapse and diagonal two-quadrics receiver	After Gaussian-norm normalization the space condition collapses to one canonical squarefree coefficient, equivalently a moving diagonal intersection of two quadrics or a core quartic square receiver.
SR-STR-080	Three simultaneous norm-support restrictions on p q g	The reduced p and core g are sums of two squares, kappa=sf(p+q) is odd with all odd primes split mod 4, and the relevant scale variables are coprime.
SR-STR-081	Uniform moving-tau distinct-core ceiling	The distinct-core count satisfies D_B(tau)<<_epsilon B^epsilon(B/sqrt(H(tau))+sqrt(B)), yielding a moving-tau fiber power bound but not a subpower bound.
SR-STR-082	Norm-support-only power-saving barrier	The three norm restrictions plus the core-height ceiling still admit an ambient necessary-condition set too large for a strict subhalf bound; diagonal reconstruction is essential.
SR-STR-083	Fixed-tau coarse-height half-power saturation family	At tau=1/4 the coarse r402a height box contains a half-power family that can be forced exactly-two and non-space, with exact primitive scaling and R-factorization.
SR-STR-084	Exact normalized physical-height identity with primitive scale retained	The normalized receiver satisfies Gamma^2 R^2=4 delta^2 h^2 J(p+q), with primitive scale Gamma retained and tau-asymmetric core-height consequences.
SR-STR-085	Cross-gcd primitive-scale factorization and physical diagonal product	Three pairwise-coprime cross-gcd channels give Gamma=2 delta epsilon C and R=(h/epsilon) kappa w-prime c-prime with h*kappa<=epsilon B.
SR-STR-086	Residual-height versus cross-gcd threshold dichotomy	For residual positive integer L=w-prime c-prime=w c/C, a uniform threshold splits survivors into small h*kappa or large cross-gcd cancellation regimes.
SR-STR-087	Cross-gcd residual physical-coordinate chart	Absorbing cross-gcd channels yields exact residual edge and two face-diagonal formulas plus an exact physical-edge budget.
SR-STR-088	Residual squareclass incidence system and small-L witness	The residual chart gives a coupled squareclass incidence system and an actual Stage19 witness with L=1, closing any unconditional pointwise L>1 claim.
SR-STR-089	Residual completion rigidity at fixed outer cell	After fixing the outer residual data, the completion variable has multiplicity at most one; the remaining obstruction is uniformity over moving coefficients.
SR-STR-090	Uniform Pell compression of the residual completion fiber	A maximal-order Pell count gives uniform subpower completion multiplicity without assuming uniform Mordell-Weil rank.
SR-STR-091	Squarefree-kernel paired-slope residue receiver	kappa divides m^2-n^2 and r^2+s^2, is coprime to mnrs, and imposes paired slope residue conditions modulo kappa.
SR-STR-092	Dyadic kappa raw-slope sieve	On dyadic kappa bands, paired slope residues admit a raw slope-sieve bound with a divisor switch when K exceeds the height scale.
SR-STR-093	Raw-slope sieve composition barrier	Composing the raw kappa sieve with later physical fibers loses the apparent saving; the next valid target must weight by the physical budget first.
SR-STR-094	Physical-weighted fixed-kappa hyperbolic sieve	For fixed kappa a hyperbolic pair lemma counts physically weighted slope pairs with a 1/kappa-type saving before summing moduli.
SR-STR-095	Modulus-entropy barrier after physical weighting	Summing the fixed-kappa weighted bound over a dyadic modulus range cancels the 1/kappa saving; kappa is self-generated rather than independent.
SR-STR-096	Double-Pell compression at fixed self-generated kernel	Fixing the kernel lets two residual equations be counted by independent uniform Pell lemmas and a third equation reconstructs rho uniquely.
SR-STR-097	M3-N2 population noncontainment firewall	M3 and N2 are noncontained subsets of the common two-face host; Stage20 third-face bounds and local factors do not directly bound the space-diagonal target.
SR-STR-098	Space-diagonal double cover of the common two-face host	In Pythagorean coordinates the space-square condition defines a degree-two cover with K3 canonical type on the common two-face host.
SR-STR-099	Branch-class comparison without branch equality	The space and third-face covers share the base host, branch divisor class and K3 canonical type, but not the same branch divisor; birational equivalence is unproved.
SR-STR-100	Legal thin-cover architecture transfer gate	The space cover structurally matches the thin-cover architecture, while the Stage20 quantitative theorem and fixed-power saving do not transfer directly.
SR-STR-101	State-G local blocker transfer to the space diagonal	On the common host the state-G reduction is identical, giving delta_2=2/9 and delta_p=2(p-chi4(p))/(p^2+6p+1) for the space predicate.
SR-STR-102	Growing-prime host sieve for the space target	By set inclusion in the same e11 sifted ambient family, the space target obeys B(log B)^5/(log log B)^2 on the host.
SR-STR-103	Space-diagonal torus factorization and squareclass receiver	The branch polynomial factors as (q1^2+q2^2)(q1^2 q2^2+1), producing a Gaussian-norm squareclass receiver.
SR-STR-104	Integral squareclass gcd kernel and cross-gcd localization	After clearing denominators, the common squareclass is sf(gcd(F,G)); odd common primes are 1 mod 4 and localize to cross-gcd channels.
SR-STR-105	Fixed-coordinate squareclass support collapse	For fixed q1, every odd squareclass prime divides rad(a^4-b^4), H(q1)<=2B, and the number of squareclasses is subpolynomial.
SR-STR-106	Fixed q1-delta nonisotrivial genus-one fiber geometry	Fixing q1 and delta gives a smooth complete intersection of two quadrics with an explicit quartic genus-one model; the moving q1 family is nonisotrivial.
SR-STR-107	Squareclass support-fiber half-wall gate	After q1 is fixed the squareclass index costs subpower; strict subhalf still requires an independent q1-support plus uniform max-fiber or second-moment theorem.
SR-STR-108	Explicit moduli map and geometric twist split	The fixed-fiber quartic has j-invariant depending only on x=q1, delta is purely a geometric twist, and physical q1-to-j multiplicity is at most two.
SR-STR-109	Twist-prime support inside the moduli degeneration divisor	Odd twist primes are Gaussian-split and lie in the support of x^4-1, the geometric degeneration divisor.
SR-STR-110	Moduli support exponent-equivalence barrier	Bounded q1-to-j multiplicity makes occupied j-support exponent-equivalent to q1-support; squareclass multiplicity per j is subpower but height-only moduli reparametrization yields no saving.
SR-STR-111	Pointwise fixed q1-delta subpower count and uniformity firewall	For each fixed (q1,delta), bounded-height rational points on the genus-one fiber contribute only a subpower count, but the constants and Mordell-Weil rank are not uniform in moving q1.
SR-STR-112	Common Jacobian of the fixed-q1 delta covering family	All fixed-(q1,delta) intersections of quadrics are genus-one coverings of one q1-dependent Jacobian, with delta changing the covering class rather than the Jacobian.
SR-STR-113	Delta fibers as descent coverings of one Mordell-Weil group	For fixed q1, every soluble delta fiber maps to the same elliptic curve; delta indexes descent data and cannot be charged as independent rank entropy.
SR-STR-114	Full-2-torsion Selmer support under a physical cutoff	The common integral Jacobian has full rational 2-torsion, so its 2-coverings are supported on primes dividing the discriminant and physical cutoff data, giving only a subpolynomial Selmer universe.
SR-STR-115	Two-to-one elliptic receiver with polynomial height transfer	The fixed-(x,delta) quartic admits an explicit degree-two map to an integral elliptic model, and physical points of cutoff B map to rational points of polynomially bounded height.
SR-STR-116	Uniform bounded-height count on the moving elliptic receiver	A uniform rational-point theorem on the integral elliptic targets gives a subpolynomial count for every fixed (x,delta), with constants controlled across the moving family.
SR-STR-117	Occupied first-coordinate support controls the N2 exponent	After the uniform fixed-fiber bound and subpolynomial delta universe, the N2 count equals the exponent of occupied q1-support up to B^o(1); the same holds for bounded-multiplicity j-support.
SR-STR-118	Möbius injection from occupied q1 support to active-face support	An exact fractional-linear coordinate adapter injects occupied q1 values into the frozen Stage14 active-face support and transfers packets without changing the physical cutoff measure.
SR-STR-119	Strict sub-half bound off the critical support wall	For every fixed positive distance from the critical wall, occupied first-coordinate support is O(B^(1/2-epsilon)) up to subpower loss.
SR-STR-120	Critical support wall as the remaining N2 receiver	Combining the support injection and off-wall estimate isolates a fixed critical wall neighborhood as the only possible half-power contribution to occupied q1 support.
SR-STR-121	No-independent-sieve certificate for the frozen local-root ledger	The Stage14 local-root conditions already define the active-face host; multiplying the same ledger into the critical-wall count would double-charge identical local information.
SR-STR-122	Diagonal slope-collision energy on critical support	The natural q1/q0 slope adapter is injective on the critical occupied set, so its collision energy contains only diagonal pairs and yields no additive-energy saving.
SR-STR-123	Exponent-neutral q1 projections on critical support	Available projections from the critical occupied set have bounded fibers and images of the same exponent, so projection thinness alone cannot improve the half-power bound.
SR-STR-124	Fixed-width wall-slab upper-bound receiver	The global N2 upper bound reduces exactly to proving a power saving for occupied support inside one fixed-width slab around the critical wall, glued to the audited off-wall estimate.
SR-STR-125	Stage14 first-moment receiver restricted to the wall slab	The frozen MAIN first-moment host and witness multiplicities restrict to the fixed-width wall family without changing measure, leaving a wall-specific moment deficit as the target.
SR-STR-126	Monotone transfer of a wall moment deficit to N2	Any power-saving first-moment deficit on the physical wall host transfers monotonically to occupied q1 support and, after off-wall gluing, to the N2 count.
SR-STR-127	Physically weighted good-bad wall-cell dichotomy	A usable averaged theorem must split wall cells into good fibers with pointwise saving and bad fibers of small physical mass; an unweighted exceptional-cell count is insufficient.
SR-STR-128	Outer-U disintegration of the MAIN wall host	The MAIN wall physical measure disintegrates exactly over an outer U-parameter, so a same-measure theorem may combine good fiber bounds with a bound for total bad physical mass.
SR-STR-129	Missing T-to-MAIN measure adapter for weighted averaging	The T-route has the required weighted exceptional-set shape but its cells and weights are not yet dominated by the MAIN wall measure; a direct theorem or common refinement is required.
SR-STR-130	Nonclosure certificate for the current wall-averaging arsenal	Existing fixed-witness moments, T exceptional classes, fixed-U averaging, and outer-U averaging do not supply the same-measure wall deficit required by the MAIN receiver.
SR-STR-131	Finite diagnostics for the N2 exponent receiver	Finite registries record occupied q1 support, fiber multiplicities, wall distance and weighted moments, separating support growth from within-fiber growth without asserting an asymptotic theorem.
SR-STR-132	Corridor-normalized directional receiver calculus	A frozen same-measure transition expresses global lower and upper exponents through corridor occupancy and conditional multiplicity, with directional receivers identifying which deficit would determine the exponent.
SR-STR-133	Half-power bottleneck taxonomy for the N2 upper attack	The strict sub-square-root attack is reduced to five audited route classes—host saturation, growing-modulus sieve, Kummer support, moving genus-one fibers, and external analytic receivers—with explicit incompatibility gates.
SR-STR-134	Fixed-moment exponent equivalence on the MAIN witness host	For a fixed positive moment, the MAIN witness sum is exponent-equivalent to occupied support unless a genuine moment deficit is proved; fixed-moment repackaging alone gives no saving.
SR-STR-135	Weighted exceptional-class adapter for the T route	A T-route averaged theorem is sufficient only in weighted form: good classes satisfy the target saving while exceptional classes carry power-saving total physical mass.
SR-STR-136	Balanced-wall common-core reconstruction barrier	On the fully balanced wall, common-core scale splitting and reduced-column reconstruction leave a multiplicity term; root-line information cannot be recharged after it already defines the host.
SR-STR-137	Fixed-U averaging collapses to a pointwise gate	For fixed U the admissible class universe is subpolynomial, so removing only a fixed-power fraction of exceptional classes gives no exponent saving; the surviving theorem must control weighted bad mass.
SR-STR-138	Outer-U weighted exceptional-mass receiver	Outer-U cardinality supplies no independent saving; closure requires either a power-saving bound for total bad physical mass or a weighted second moment in the same complete-host measure.
SR-STR-139	Same-measure physical occupancy L1/L2/exceptional-tail equivalence	On MAIN physical fibers, mu_x=H_x/H and rho_x=F_x/H_x in [0,1]. A fixed-power deficit in sum mu_x rho_x, sum mu_x rho_x^2, or the weighted tail mu{rho_x>B^-alpha} is equivalent up to constant exponent loss by Cauchy, rho^2<=rho, splitting, and Markov.
SR-STR-140	Uniform high-occupancy physical-mass deficit gate on the MAIN wall slab	For fixed eta0, alpha,beta>0, with E_alpha={(P,U):F_MAIN(P,U;B)>B^-alpha H_phys^MAIN(P,U;B)}, the missing theorem is sum_{E_alpha} H_phys^MAIN << B^-beta+o(1) sum_{P,U} H_phys^MAIN. It would imply a strict wall power deficit; no such alpha,beta are proved.
SR-STR-141	Exactly-one-face ambient population order and Pythagorean scale mechanism	For primitive canonical R<=B cuboids with exactly one integral face and no space condition, M1(B) asymp B^2 log B and M1(B)/U(B) asymp log(B)/B. The power drop comes from replacing one free edge-pair by scaled primitive Pythagorean faces; the logarithm comes from the harmonic face-scale sum.
SR-STR-142	Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance	For primitive canonical R<=B cuboids with integral space diagonal and no face restriction, N_S^all(B)~B^2/(32G). The zero-integral-face subpopulation N_S^0(B) has the same main term, while the faceful complement is O_epsilon(B^(1+epsilon)); hence the intrinsic ambient space-diagonal cost relative to U(B) is one power of B.
SR-STR-143	Exactly-two-face ambient asymptotic and cubic-host thinning law	For primitive canonical R<=B cuboids with exactly two integral face diagonals and no space-diagonal condition, M2(B)~C_M2 B(log B)^5 with C_M2>0; against U(B)=pi B^3/(36 zeta(3))+O(B^2), M2/U~[36 zeta(3) C_M2/pi](log B)^5/B^2.
SR-STR-144	Shared-edge double-Pythagorean normal form for the exactly-two-face host	Every Stage18 object has a unique shared edge s for its two successful faces and can be written s^2+x^2=p^2, s^2+y^2=q^2 with x^2+y^2 nonsquare. The two face conditions are coupled through s and are not independent random-square tests.
SR-STR-145	Paired Gaussian-norm squareclass parity sieve for Stage19 zero density	On the shared-edge toric chart A=N(mr+i ns), B=N(ms+i nr), R integral iff sf(A)=sf(B). For good split p=1 mod 4 the same-measure parity acceptance is rho_p=(p^4+4p^3+22p^2+4p+1)/((p+1)^2(p^2+6p+1)) with 1-rho_p=4/p+O(p^-2); the finite-prime product tends to zero and proves N2/M2->0. This local sieve is not the source of the separate half-power global upper bound.
SR-STR-146	Current certified Euler-cuboid global envelope with unresolved true exponent	For the primitive canonical Euler population under R<=B, the current project-wide bounds are: for every epsilon>0, M3(B)>>_epsilon B^(1/3-epsilon), and for every fixed eta<1/46, M3(B)<<_eta B(log B)^(5-eta). The lower is the generalized two-parameter Saunderson theorem promoted by Stage26; the upper is the explicit thin-cover bound inherited by the Stage20 closeout. No epsilon-free one-third lower, asymptotic, or true exponent is identified.
SR-STR-147	Euler third-face local blocker law and sieve-dimension-two rarity mechanism	For third-face completion on the two-face host, delta_2=2/9 and for odd p, delta_p=2(p-chi_4(p))/(p^2+6p+1)=2/p+O(p^-2). Every Euler brick avoids all blockers; fixed finite prime sets have product survival and give a local zero-density mechanism, but the sieve does not determine the true global M3 exponent.
