evidence_sid	evidence_path	substage	result_sid	result_path	result_status	result_cards
SRC-1876A6E078B2	stages/stage15/evidence/stage15_6av_covering_map.json	av	SRC-4E7AC83BB58C	stages/stage15/15-6av/result.md	STRUCTURES_RECORDED	SR-STR-163,SR-STR-162
SRC-1DAFF98816D2	stages/stage15/evidence/stage15_6aw_nontorsion_audit.json	aw	SRC-558E4D6057D3	stages/stage15/15-6aw/result.md	STRUCTURES_RECORDED	SR-STR-162,SR-STR-195
SRC-6B27E1B6D746	stages/stage15/evidence/stage15_6ax_height_bridge_audit.json	ax	SRC-C1B5B9E7B8C3	stages/stage15/15-6ax/result.md	STRUCTURES_RECORDED	SR-STR-162
SRC-39E4B7F4AAD4	stages/stage15/evidence/stage15_6ay_complete_2descent.json	ay	SRC-4B8C7992D493	stages/stage15/15-6ay/result.md	STRUCTURES_RECORDED	SR-STR-162,SR-STR-163,SR-STR-175
SRC-DC313C7C2B5F	stages/stage15/evidence/stage15_6az_small_height_size_audit.json	az	SRC-727795F3EDA8	stages/stage15/15-6az/result.md	STRUCTURES_RECORDED	SR-STR-162
SRC-E581754BE686	stages/stage15/evidence/stage15_6ba_ar012_false_trigger.json	ba	SRC-8008411E2F19	stages/stage15/15-6ba/result.md	NO_DISTINCT_STRUCTURE	
SRC-118806284D2F	stages/stage15/evidence/stage15_6bb_rational_reciprocal.json	bb	SRC-7BDEE03D1E73	stages/stage15/15-6bb/result.md	STRUCTURES_RECORDED	SR-STR-163,SR-STR-164
SRC-818298C27A2C	stages/stage15/evidence/stage15_6bc_weighted_twist_gate.json	bc	SRC-A6DA806A2D20	stages/stage15/15-6bc/result.md	STRUCTURES_RECORDED	SR-STR-169,SR-STR-162
SRC-2B78371ACBB4	stages/stage15/evidence/stage15_6bd_diagonal_product.json	bd	SRC-490BB89FBC6C	stages/stage15/15-6bd/result.md	STRUCTURES_RECORDED	SR-STR-164,SR-STR-151
SRC-7349D77C5077	stages/stage15/evidence/stage15_6be_fixed_diagonal_fiber.json	be	SRC-538D9B4CE273	stages/stage15/15-6be/result.md	STRUCTURES_RECORDED	SR-STR-151,SR-STR-164
SRC-CD86D8D7D96B	stages/stage15/evidence/stage15_6bf_denominator_rigidity.json	bf	SRC-8A4DAC269949	stages/stage15/15-6bf/result.md	STRUCTURES_RECORDED	SR-STR-163
SRC-9FD97D9F6A33	stages/stage15/evidence/stage15_6bg_support_gate.json	bg	SRC-03BD531ACDC8	stages/stage15/15-6bg/result.md	STRUCTURES_RECORDED	SR-STR-151,SR-STR-164,SR-STR-133
SRC-71E79461379C	stages/stage15/evidence/stage15_6bh_support_restatement.json	bh	SRC-E84897FCFBB6	stages/stage15/15-6bh/result.md	STRUCTURES_RECORDED	SR-STR-133
SRC-4446445FABD9	stages/stage15/evidence/stage15_6bi_complementary_products.json	bi	SRC-4E68128C6E96	stages/stage15/15-6bi/result.md	STRUCTURES_RECORDED	SR-STR-053,SR-STR-200,SR-STR-164
SRC-7BD9DF9108C8	stages/stage15/evidence/stage15_6bj_equal_hypotenuse_audit.json	bj	SRC-3C1F6513D5E1	stages/stage15/15-6bj/result.md	NO_DISTINCT_STRUCTURE	
SRC-7C8388ABA1EE	stages/stage15/evidence/stage15_6bk_joint_core_endpoint.json	bk	SRC-AA9A87D92BC8	stages/stage15/15-6bk/result.md	STRUCTURES_RECORDED	SR-STR-200,SR-STR-133
SRC-30B11739EF10	stages/stage15/evidence/stage15_6bl_joint_rootline.json	bl	SRC-337848C37642	stages/stage15/15-6bl/result.md	STRUCTURES_RECORDED	SR-STR-200
SRC-E4E0CDA2F505	stages/stage15/evidence/stage15_6bm_toric_congruence.json	bm	SRC-5731052F0593	stages/stage15/15-6bm/result.md	STRUCTURES_RECORDED	SR-STR-102,SR-STR-200
SRC-2873B5102F04	stages/stage15/evidence/stage15_6bn_huang_audit.json	bn	SRC-2218EDF147BC	stages/stage15/15-6bn/result.md	STRUCTURES_RECORDED	SR-STR-102
SRC-9746BE61EE63	stages/stage15/evidence/stage15_6bo_hybrid_gate.json	bo	SRC-4A0952F3AD2F	stages/stage15/15-6bo/result.md	STRUCTURES_RECORDED	SR-STR-102,SR-STR-133
SRC-D2DE655FF6AB	stages/stage15/evidence/stage15_6bp_huang_window.json	bp	SRC-3170ED681B27	stages/stage15/15-6bp/result.md	STRUCTURES_RECORDED	SR-STR-102
SRC-4FDD77111076	stages/stage15/evidence/stage15_6bq_huang_level.json	bq	SRC-A0422C4EBF15	stages/stage15/15-6bq/result.md	STRUCTURES_RECORDED	SR-STR-102
SRC-0C1C87027EC2	stages/stage15/evidence/stage15_6br_geometric_sieve.json	br	SRC-3E6CC63D6AD1	stages/stage15/15-6br/result.md	STRUCTURES_RECORDED	SR-STR-102,SR-STR-133
SRC-9815A5E0756D	stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json	bs	SRC-0EF6D64F83E1	stages/stage15/15-6bs/result.md	STRUCTURES_RECORDED	SR-STR-179,SR-STR-017
