sid	path	stage	kind	role	flags	preview	top_candidates
SRC-D6AC0B3B11B9	stages/stage13/manifest-r07.md	Stage13	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS		# Stage13 final bundle manifest | ```text | BUNDLE_ID=STAGE13-FINAL-SELF-CONTAINED-20260810-R07 | STATUS=CLOSED | FINAL_DOCUMENT=stages/stage13/final.md | FINAL_REVIEW=review/STAGE13-FINAL-SELF-CONTAINED-20260810-R07.html | ARCHIVE=stages/stage13/archive/ | NORMAL_READING_ENTRY=stages/stage13/README.md	SR-STR-207:15.6:Nested primitive-slope acceptance and canonical two-factor density receiver; SR-STR-041:14.6:Oriented-record to canonical face-incidence projection; SR-STR-222:12.5:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-219:11.5:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-162:11.5:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-193:11.3:E-column Walsh collapse and root-sawtooth spacing closure; SR-STR-191:11.3:Non-independent weighted local-Sha-height retainer chain; SR-STR-096:8.5:Double-Pell compression at fixed self-generated kernel
SRC-5C184D934DA1	stages/stage13/scripts/13-13fo/README.md	Stage13	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS		# 13-13fo builder | `build_r06_review_bundle.py` reads every embedded source from fixed commit `103dbc9bf241f8c306befc8dab0175e3ca4fb0f2`, writes the immutable R06 HTML target plus manifest/result, and computes the bundle SHA-256 from the exact HTML bytes. | The dedicated workflow re-computes the SHA and commits the generated target to the PR branch. External review starts only after these generated bytes are present.	SR-STR-222:32.7:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:19.2:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-165:18.3:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-162:17.5:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-157:13.9:Complete rational degree-two base-change descent with split/nonsplit commuting-l; SR-STR-213:13.7:Complementary-dilation bare unitary shadow versus conditional physical-completio; SR-STR-169:13.7:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-095:13.4:Modulus-entropy barrier after physical weighting
SRC-402DCABCDE9F	stages/stage02/data/geometry/audit_report.json	Stage2	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE		{ | "data_audit": { | "actual_threshold_counts": { | "1000": { | "ab+ac": 2, | "ab+bc": 0, | "ac+bc": 0, | "perfect": 0,	SR-STR-154:19.8:Exact matched M2-to-N2 finite census through one million; SR-STR-138:18.5:Outer-U weighted exceptional-mass receiver; SR-STR-135:18.5:Weighted exceptional-class adapter for the T route; SR-STR-128:18.5:Outer-U disintegration of the MAIN wall host; SR-STR-040:16.9:Consumed and superseded asset recharge discipline; SR-STR-114:13.7:Full-2-torsion Selmer support under a physical cutoff; SR-STR-113:13.7:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-115:13.6:Two-to-one elliptic receiver with polynomial height transfer
SRC-8D574AE4EE9D	stages/stage02/data/kummer/classification.json	Stage2	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE		{ | "metadata": { | "point_count": 255, | "source": "data/two_face_cuboids_1e6_fixed.json", | "standard_model": [ | "A^2+C^2=Y^2", | "B^2+C^2=X^2", | "A^2+X^2=U^2"	SR-STR-166:34.2:Dual-root-line eliminant determinant/Kloosterman transfer dichotomy; SR-STR-176:33.8:Compact rational-2-torsion translation and canonical physical denominator; SR-STR-069:33.1:Reduced tau core-scale decomposition; SR-STR-223:24.6:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-154:24.0:Exact matched M2-to-N2 finite census through one million; SR-STR-151:24.0:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion ; SR-STR-061:23.7:Affine-linear moving-u multisection discriminant classification; SR-STR-155:23.4:Fixed rational-curve sub-square-root ceiling and moving-family gate
SRC-7A9C7FB97017	stages/stage02/data/kummer/report.json	Stage2	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,asymptotic	{ | "all_standard_equations_valid": true, | "category_counts": { | "ab+ac": 98, | "ab+bc": 101, | "ac+bc": 56 | }, | "classification_scope": {	SR-STR-154:33.2:Exact matched M2-to-N2 finite census through one million; SR-STR-156:29.2:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-222:27.1:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:26.5:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-151:26.0:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion ; SR-STR-015:20.6:R504 elliptic base-change exceptional Prym locus gate; SR-STR-113:19.5:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-155:17.8:Fixed rational-curve sub-square-root ceiling and moving-family gate
SRC-7FED276095BC	stages/stage03/data/focus_lambda_16_21_report.json	Stage3	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE		{ | "bounded_relation_basis_size": 2, | "bounded_relation_basis_source_indices": [ | 18, | 74 | ], | "lambda": "16/21", | "pari": {	SR-STR-111:41.7:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-113:36.0:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-156:31.2:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-158:28.1:Explicit nonsplit degree-two R504 rank-jump construction; SR-STR-223:25.4:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-090:24.4:Uniform Pell compression of the residual completion fiber; SR-STR-151:23.8:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion ; SR-STR-068:22.8:Pointwise subpower fiber bound versus uniform max-fiber firewall
SRC-71D79945F189	stages/stage03/data/relations.json	Stage3	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,asymptotic	{ | "metadata": { | "max_basis_size": 3, | "method_scope": { | "not_proved": [ | "the full Mordell-Weil rank of a specialized fiber", | "that the bounded-search basis is a Mordell-Weil basis", | "that no relation exists outside the coefficient bound",	SR-STR-222:56.5:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:50.2:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-069:41.9:Reduced tau core-scale decomposition; SR-STR-111:41.1:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-113:40.8:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-221:36.9:Unbalanced short-denominator square-part versus two-cell minimum receiver; SR-STR-163:36.3:Branch-sensitive generalized-Jacobian/Prym and rational-2-torsion descent interf; SR-STR-151:36.1:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion 
SRC-6B09EF34312D	stages/stage03/data/report.json	Stage3	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	finite	{ | "bounded_basis_size_histogram": { | "1": 41, | "2": 9 | }, | "errors": [], | "focus_lambda_16_21": { | "bounded_relation_search": {	SR-STR-223:65.5:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-111:48.4:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-222:47.4:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-116:46.6:Uniform bounded-height count on the moving elliptic receiver; SR-STR-165:42.2:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-182:35.5:Radical-poor hypotenuse support sparsity and polynomial witness box; SR-STR-176:35.0:Compact rational-2-torsion translation and canonical physical denominator; SR-STR-162:34.8:Moving first-small-point height pipeline via large prime plus complete 2-descent
SRC-981937031913	stages/stage04/data/all_fibers_pari_report.json	Stage4	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	fail	{ | "exact_rank_count": 190, | "exact_rank_histogram": { | "1": 106, | "2": 80, | "3": 3, | "4": 1 | },	SR-STR-069:25.5:Reduced tau core-scale decomposition; SR-STR-222:16.3:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-192:14.6:K4 reciprocity 2-core peeling and three-regime graph escape; SR-STR-201:13.6:Residual-host Gaussian-core lift and joint-core row-column reconstruction; SR-STR-181:13.6:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-166:13.6:Dual-root-line eliminant determinant/Kloosterman transfer dichotomy; SR-STR-221:11.9:Unbalanced short-denominator square-part versus two-cell minimum receiver; SR-STR-189:11.9:Radical-rich incidence / small-denominator trichotomy
SRC-F60ED545F569	stages/stage04/data/pari_rank_report.json	Stage4	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE		{ | "basis_size_equals_rank_lower_count": 39, | "exact_rank_count": 50, | "exact_rank_histogram": { | "1": 30, | "2": 20 | }, | "fiber_count": 50,	SR-STR-199:14.7:Split-quartic agreement allocation and reciprocal Edwards-Cayley reduction; SR-STR-197:14.7:Four-root rank-one difference-kernel lattice and dual-switch residue lock; SR-STR-175:14.7:Integral full-2-descent witness as a smooth intersection of two quadrics; SR-STR-174:14.7:Q17-good packet / filtered-tau3 pushforward intersection gate; SR-STR-173:14.7:Conditioned divisor-support hierarchy from reciprocal CRT through second reverse; SR-STR-113:9.7:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-192:8.0:K4 reciprocity 2-core peeling and three-regime graph escape; SR-STR-218:5.3:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant
SRC-6AD2C34282FB	stages/stage05/data/report.json	Stage5	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,finite	{ | "global_scope": { | "new_certificates": [ | "any exact rank whose PARI lower and upper bounds agree", | "the exact displayed group-law relation at lambda=7/32", | "canonical heights for the stored 255 points" | ], | "not_proved": [	SR-STR-223:45.0:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-154:36.9:Exact matched M2-to-N2 finite census through one million; SR-STR-141:30.3:Exactly-one-face ambient population order and Pythagorean scale mechanism; SR-STR-068:29.8:Pointwise subpower fiber bound versus uniform max-fiber firewall; SR-STR-162:29.4:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-218:29.4:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant; SR-STR-111:28.9:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-169:26.8:Correlation-only canonical-divisor/projective-mover transfer suite
SRC-E2705C302CA6	stages/stage06/data/height_report.json	Stage6	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,pass,asymptotic,finite	{ | "counting_consequence": { | "fixed_fiber": "if the free Mordell-Weil lattice has rank r and smallest height-pairing eigenvalue mu_lambda>0, then points with d<=B lie in a Euclidean coefficient ball of squared radius at most T(B)/mu_lambda, where T(B)=(17/6)log(B)+log(2)+(1/3)log(17)", | "still_missing": [ | "a uniform rank bound over all rational lambda", | "a uniform lower bound for the smallest height-pairing eigenvalue or regulator", | "control of special fibers and possible torsion enlargement", | "an average bound strong enough to sum over O(B) possible parameters",	SR-STR-111:43.3:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-182:41.2:Radical-poor hypotenuse support sparsity and polynomial witness box; SR-STR-223:41.1:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-068:38.3:Pointwise subpower fiber bound versus uniform max-fiber firewall; SR-STR-148:37.2:One-face conditioning logarithmically enhances space-diagonal survival over the ; SR-STR-219:36.9:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-156:36.9:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-069:36.6:Reduced tau core-scale decomposition
SRC-38034ED4EE23	stages/stage07/data/inverse_height_report.json	Stage7	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,open,pass,numerical,finite	{ | "decision": { | "next_research_choice": "sharpen the lambda coefficient drastically, or switch to an average parameter/fiber sum using rank, regulator, local conditions or determinant methods", | "pure_canonical_lower_bound_obtained": false, | "reverse_height_route_feasible": true, | "wall_discussion_recommended_after_stage7": true, | "why_counting_does_not_close": "the mixed reverse estimate retains h(lambda); substituting h(lambda)<=0.5*log(2d) is useful only if the final lambda coefficient is below 2" | },	SR-STR-223:52.2:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-218:50.1:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant; SR-STR-116:46.8:Uniform bounded-height count on the moving elliptic receiver; SR-STR-111:43.8:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-162:42.5:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-156:41.4:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-069:39.9:Reduced tau core-scale decomposition; SR-STR-141:39.4:Exactly-one-face ambient population order and Pythagorean scale mechanism
SRC-C23AF38A9114	stages/stage08/data/local_sieve_report.json	Stage8	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,pass,asymptotic,finite	{ | "decision": { | "deg_j_24_verified": true, | "next_research_options": [ | "square sieve after Pythagorean parameterization", | "determinant-method/direct counting for the extra square conditions", | "construct a rigorous lower-bound family for the one-face count N1(B)" | ],	SR-STR-222:79.0:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:73.4:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-219:70.6:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-163:62.9:Branch-sensitive generalized-Jacobian/Prym and rational-2-torsion descent interf; SR-STR-169:61.6:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-015:59.0:R504 elliptic base-change exceptional Prym locus gate; SR-STR-206:54.6:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-218:54.5:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant
SRC-87CFB0F83F45	stages/stage09/data/divisor_chain_report.json	Stage9	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	proved,pass,asymptotic,finite	{ | "congruence_certificates": { | "best_single_modulus": { | "category_counts": { | "ab_only": 3979, | "ac_only": 2029, | "bc_only": 1917 | },	SR-STR-224:18.5:Fixed-R coefficient-cell accumulation and hyperbolic boundary barrier; SR-STR-162:18.5:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-218:12.1:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant; SR-STR-052:12.1:Gaussian quotient and cross-resultant dictionary; SR-STR-223:11.7:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-219:11.7:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-217:11.7:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-202:11.7:Root-gcd square transfer and globally odd-primitive square-root saturation
SRC-5907E78C3E75	stages/stage10/data/lower_bound_report.json	Stage10	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	pass,asymptotic,finite,conditional	{ | "metadata": { | "stage": 10, | "title": "Explicit primitive exactly-one-face family", | "generated_by": "scripts/audit_one_face_lower_bound_stage10.py", | "claim_status": "The family and B^(1/4) lower bound are unconditional. No upper bound for N2(B) and no little-o comparison are claimed." | }, | "family": {	SR-STR-222:96.8:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-202:72.4:Root-gcd square transfer and globally odd-primitive square-root saturation; SR-STR-225:72.0:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-162:70.9:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-200:57.0:Primitive common-core Gaussian root-line spacing and dual Cayley orientation com; SR-STR-163:56.9:Branch-sensitive generalized-Jacobian/Prym and rational-2-torsion descent interf; SR-STR-223:54.7:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-172:53.1:Rectangular arithmetic-progression product set has full fixed-power exponent
