# idx | source | path | top3 | named | locked
29 | SRC-5AD10D29B83A | stages/stage14/data/14-4/cross_weighted_threshold_summary.json | SR-STR-222,SR-STR-086,SR-STR-223 | - | "current_physical_upper_bound_exponent": "20/21", ; "full_direct_post_local_positive_saving_proved": true, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
30 | SRC-BC7BE1F76AA2 | stages/stage14/data/14-4/crt_incidence_block_summary.json | SR-STR-222,SR-STR-200,SR-STR-162 | - | "separable_dyadic_bilinear_bound_proved": true,
31 | SRC-B0C249DF17A6 | stages/stage14/data/14-4/cyclotomic_quartic_allocation_summary.json | SR-STR-199,SR-STR-222,SR-STR-208 | OffDiagonalReciprocalCyclotomicQuarticAllocationIncidence | "physical_receiver_counterexample_proved": false, ; "receiver_proved": false, ; "fixed_residual_root_fiber_Bo1_proved": false, ; "current_physical_upper_bound_exponent": "7/8",
32 | SRC-2E674B7FD2B9 | stages/stage14/data/14-4/degree4_bisection_audit.json | SR-STR-222,SR-STR-223,SR-STR-199 | - | "T_O_SQRT_B_PROVED": false,
33 | SRC-3838BBC93C80 | stages/stage14/data/14-4/diagonal_pair_genus_one_summary.json | SR-STR-180,SR-STR-223,SR-STR-222 | - | "current_physical_upper_bound_exponent": "61/63", ; "full_direct_post_local_positive_saving_proved": true, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
34 | SRC-BA4775BE0E3C | stages/stage14/data/14-4/dual_common_core_cayley_summary.json | SR-STR-200,SR-STR-222,SR-STR-201 | SymmetricQuarterQuarterCayleyGaussianPrimitiveRootLineEnergy | "current_physical_upper_bound_exponent": "3/4", ; "remaining_receiver": "SymmetricQuarterQuarterCayleyGaussianPrimitiveRootLineEnergy",
35 | SRC-F30D11E99A64 | stages/stage14/data/14-4/dual_half_angle_critical_square_summary.json | SR-STR-177,SR-STR-222,SR-STR-223 | - | "current_physical_upper_bound_exponent": "41/42", ; "joint_dual_selector_incidence_theorem_proved": false, ; "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false,
36 | SRC-8DAF0E574172 | stages/stage14/data/14-4/dual_switch_residue_lock_summary.json | SR-STR-197,SR-STR-222,SR-STR-200 | DualPrimitivePythagoreanSwitchIncidence;PrimewiseResidueLock | "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false, ; "dual_primitive_pythagorean_composition_proved": true, ; "dual_switch_primewise_residue_incidence_proved": false,
37 | SRC-8AD4593BB6F2 | stages/stage14/data/14-4/dyadic_q_budget_summary.json | SR-STR-191,SR-STR-222,SR-STR-219 | - | "proved": false, ; "positive_global_saving_exponent_proved": false, ; "positive_height_saving_exponent_proved": false ; "RHO_LOC_EXPLICITLY_PROVED": false,
38 | SRC-E377A8844EC9 | stages/stage14/data/14-4/dyadic_short_denominator_9_10_summary.json | SR-STR-221,SR-STR-222,SR-STR-196 | - | "current_physical_upper_bound_exponent": "9/10", ; "new_whole_family_power_saving_proved": true, ; "sqrt_B_upper_bound_proved": false,
39 | SRC-B477909E4381 | stages/stage14/data/14-4/eight_cell_residual_lift_summary.json | SR-STR-198,SR-STR-222,SR-STR-201 | CommonCoreResidualEightCellMultiplicity | "receiver_proved": false, ; "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false,
40 | SRC-C93D2907ABA6 | stages/stage14/data/14-4/elliptic_fiber_audit.json | SR-STR-222,SR-STR-223,SR-STR-162 | - | 
41 | SRC-EA67F7F48AF2 | stages/stage14/data/14-4/end_to_end_retainer_summary.json | SR-STR-191,SR-STR-222,SR-STR-223 | - | "FAMILY_LARGE_SIEVE_THEOREM_PROVED": false, ; "POSITIVE_GLOBAL_SAVING_EXPONENT_PROVED": false, ; "UNIFORM_FIRST_SMALL_POINT_LOWER_TAIL_PROVED": false, ; "POSITIVE_HEIGHT_SAVING_EXPONENT_PROVED": false,
42 | SRC-639D1FA7930C | stages/stage14/data/14-4/final_root_sawtooth_gate_summary.json | SR-STR-222,SR-STR-193,SR-STR-165 | - | "AUXILIARY_INCIDENCE_UNIFORMITY_PROVED": true, ; "MULTI_EDGE_DISCREPANCY_TENSOR_CONTRACTION_PROVED": true, ; "STATE_SPLIT_E_MULTI_EDGE_TENSOR_CONTRACTION_PROVED": true, ; "COMPLETE_POSITIVE_RECIPROCAL_EXPONENT_PROVED": false,
43 | SRC-CE1E48C281FA | stages/stage14/data/14-4/five_eighths_boundary_split_summary.json | SR-STR-200,SR-STR-222,SR-STR-202 | UpperFiveEighthsCayleyGaussianOuterSupportPrimitiveRootLineIncidence;LowerFiveEighthsCoprimeRootProductTwoPrimitiveReciprocalFactorizationIncidence;FiveEighthsUpperCayleyLowerCoprimeBoundaryPair | "current_physical_upper_bound_exponent": "5/8", ; "new_whole_family_power_saving_proved": true, ; "remaining_receiver": "FiveEighthsUpperCayleyLowerCoprimeBoundaryPair",
44 | SRC-358B35D638E2 | stages/stage14/data/14-4/fixed_quartic_critical_strip_summary.json | SR-STR-222,SR-STR-186,SR-STR-146 | - | "current_physical_upper_bound_exponent": "20/21", ; "new_whole_family_power_saving_proved": false,
45 | SRC-3DB2CFA4B358 | stages/stage14/data/14-4/four_root_lattice_endpoint_summary.json | SR-STR-222,SR-STR-197,SR-STR-218 | - | "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false, ; "physical_weighted_squareclass_fiber_energy_proved": false, ; "generic_cross_good_ld2_kummer_principal_incidence_proved": false,
46 | SRC-5846DCED451A | stages/stage14/data/14-4/fu_two_cell_13_14_summary.json | SR-STR-188,SR-STR-222,SR-STR-221 | - | "GENERIC_FREQUENCY_NEWTON_NONDEGENERACY_PROVED": true, ; "ADJACENT_TWO_CELL_MIXED_FOURIER_OP_BOUND_PROVED": true, ; "CURRENT_PHYSICAL_UPPER_BOUND_EXPONENT": "13/14", ; "NEW_WHOLE_FAMILY_POWER_SAVING_PROVED": true,
47 | SRC-63C4792F9F6E | stages/stage14/data/14-4/full_conductor_mainline_H_summary.json | SR-STR-222,SR-STR-205,SR-STR-204 | FullConductorPhysicalPrincipalDensityAndJointThreeProjectionCovariance;FullConductorConditionalPrincipalDensityDeficitOrSignedThreeProjectionAnticorrelation | "fixed_power_saving_proved": false, ; "strict_subsqrt_power_saving_proved": false,
48 | SRC-3AA4F23BBDB6 | stages/stage14/data/14-4/full_conductor_mainline_gate_summary.json | SR-STR-204,SR-STR-222,SR-STR-205 | SquareRootQuarterFullConductorPrimitivePythagoreanThreeProjectionPhysicalPrincipalDensityAndInverseFractionCovariance | "conductor_loss_fixed_power_saving_proved": true, ; "full_conductor_endpoint_proved": true, ; "strict_subsqrt_power_saving_proved": false, ; "remaining_receiver": "SquareRootQuarterFullConductorPrimitivePythagoreanThreeProjectionPhysicalPrincipalDensityAndInverseFractionCovariance",
49 | SRC-D686728CC507 | stages/stage14/data/14-4/full_k_dual_common_core_summary.json | SR-STR-198,SR-STR-200,SR-STR-222 | CommonCoreFullKDualXiStratifiedMultiplicity | "joint_common_core_crt_physical_fiber_lemma_proved": true, ; "receiver_proved": false, ; "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false,
50 | SRC-ECBA6E546A0D | stages/stage14/data/14-4/full_residual_balanced_gaussian_density_summary.json | SR-STR-222,SR-STR-208,SR-STR-198 | SquareRootThetaQuarterFullResidualBalancedGaussianPhysicalReciprocalSelectorDensity | "current_physical_upper_bound_exponent": "1/2", ; "sqrt_B_upper_bound_proved": true, ; "strict_subsqrt_power_saving_proved": false, ; "new_whole_family_power_saving_proved": false,
51 | SRC-424A960BA40B | stages/stage14/data/14-4/full_row_fourth_root_61_112_summary.json | SR-STR-201,SR-STR-202,SR-STR-222 | SixtyOneOneHundredTwelfthsFullCayleyRowFourthRootColumnShortLiftIncidence | "current_physical_upper_bound_exponent": "61/112", ; "remaining_receiver": "SixtyOneOneHundredTwelfthsFullCayleyRowFourthRootColumnShortLiftIncidence",
52 | SRC-17E0D0506C1E | stages/stage14/data/14-4/gaussian_product_physical_energy_h_summary.json | SR-STR-222,SR-STR-200,SR-STR-166 | SquareRootThetaQuarterGloballyOddPrimitiveFullCoreGaussianProductRootLinePhysicalCompletionEnergyPowerSaving;SquareRootThetaQuarterGaussianNormDivisorSplitPhysicalAdmissibilityZeroFrequencyDensity | "strict_subsqrt_power_saving_proved": false, ; "remaining_receiver": "SquareRootThetaQuarterGaussianNormDivisorSplitPhysicalAdmissibilityZeroFrequencyDensity",
53 | SRC-3F99BF23638C | stages/stage14/data/14-4/gaussian_product_rootline_h_gate_summary.json | SR-STR-200,SR-STR-202,SR-STR-204 | SquareRootThetaQuarterGloballyOddPrimitiveFullCoreGaussianProductRootLinePhysicalCompletionEnergy;SquareRootThetaQuarterGloballyOddPrimitiveFullCoreGaussianProductRootLinePhysicalCompletionEnergyPowerSaving | "sqrt_upper_bound_proved": true, ; "strict_subsqrt_power_saving_proved": false, ; "remaining_receiver": "SquareRootThetaQuarterGloballyOddPrimitiveFullCoreGaussianProductRootLinePhysicalCompletionEnergy",
54 | SRC-365F14EB2B65 | stages/stage14/data/14-4/gaussian_square_divisor_descent_summary.json | SR-STR-198,SR-STR-222,SR-STR-194 | BalancedFourHostGaussianSquareDivisorIncidence | "receiver_proved": false, ; "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false,
55 | SRC-F9BF77417DCA | stages/stage14/data/14-4/global_sha_retainer_summary.json | SR-STR-191,SR-STR-222,SR-STR-223 | - | "GLOBAL_SOLUBILITY_DENSITY_PROVED": false, ; "POSITIVE_GLOBAL_SAVING_EXPONENT_PROVED": false, ; "FAMILY_LARGE_SIEVE_THEOREM_PROVED": false, ; "UNIFORM_FIRST_SMALL_POINT_LOWER_TAIL_PROVED": false,
56 | SRC-7AC6C41259DA | stages/stage14/data/14-4/height_envelope_audit.json | SR-STR-222,SR-STR-223,SR-STR-181 | - | 
57 | SRC-03D1CDB8CBEF | stages/stage14/data/14-4/height_rank_audit.json | SR-STR-223,SR-STR-156,SR-STR-222 | - | 
58 | SRC-116BCB17A01A | stages/stage14/data/14-4/inert_fourier_thin_switch_summary.json | SR-STR-194,SR-STR-186,SR-STR-221 | - | "new_whole_family_power_saving_proved": false,
59 | SRC-AC4867935987 | stages/stage14/data/14-4/k4_2core_assembly_summary.json | SR-STR-192,SR-STR-222,SR-STR-219 | - | "EXPLICIT_NONTRIVIAL_RHO_LOC_PROVED": false,
60 | SRC-39A027E733AE | stages/stage14/data/14-4/k4_graph_escape_summary.json | SR-STR-222,SR-STR-192,SR-STR-209 | - | "one_small_variable_k4_boundary_assembly_proved": true, ; "auxiliary_incidence_uniformity_proved": false, ; "state_split_E_multi_edge_assembly_proved": false, ; "explicit_nontrivial_rho_loc_proved": false,
