SR-STR-060	Constant-u bisection genus and physical-degeneration barrier	For u=c, S^2=tau(tau+c^2+1)(tau^2+(c-1)(c-3)tau+2(c-1)^2); rational c not in {0,1} gives genus one, while the obvious degree-two points lie on z^2=1 boundary.	physical degeneration barrier
SR-STR-061	Affine-linear moving-u multisection discriminant classification	For u=a*tau+b, S^2=tau G_tau(a*tau+b) is generically degree 6/genus 2; its rational discriminant components reduce to a=b, b=1, 4a^2-4ab-1=0, or F(a,b)=0, with the only rational simultaneous moving degeneration u=tau+1 on z=1.	moving-u classification
SR-STR-062	Universal toric physical-height ledger and degree-eight saturation	Raw toric edges have degree 2d_x+2d_y; after common factor degree g the algebraic physical degree is h_alg=2d_x+2d_y-g. Both R501 and R502 have h_alg=8, so one-parameter progress requires h_alg<8.	R501 R502 calibration
SR-STR-063	Tau pushforward invariant and collision receiver	tau=(x^2-z^2)/(z^2-1)=(x^2+1)/(y^2-1)=s^2(m^2+n^2)/(n^2(r^2-s^2)); equal-tau points satisfy the corresponding cross-multiplied collision equation.	Stage19 tau invariant
SR-STR-064	Support-times-max-fiber upper exponent gate	If #T(B)<=B^(sigma+o(1)) and max_t w_B(t)<=B^(phi+o(1)), then N2(B)<=B^(sigma+phi+o(1)); strict sub-half requires sigma+phi<1/2.	sigma plus phi gate
SR-STR-065	Support-energy upper exponent gate	If #T(B)<=B^(sigma+o(1)) and sum_t w_B(t)^2<=B^(eta+o(1)), then N2(B)<=B^((sigma+eta)/2+o(1)); strict sub-half requires sigma+eta<1.	sigma eta gate
SR-STR-066	Reduced tau height bound and height-only support no-go	For reduced positive toric representatives under R<=B, H(tau)<2B^2; rational-height counting gives no improvement over the certified B^(1/2+epsilon) support bound.	height-only support route
SR-STR-067	Fixed-tau ambient conic before the space-square filter	For reduced tau=p/q, the toric host before imposing integral space diagonal has fixed-tau conic p*y^2-q*x^2=p+q.	fixed-tau elliptic fiber
SR-STR-068	Pointwise subpower fiber bound versus uniform max-fiber firewall	For each fixed tau, w_B(tau)<<_tau(1+log B)^(rank(E_tau(Q))/2), but no rank-uniform max_tau bound follows; fiber control alone cannot cross the half-power support wall.	pointwise versus uniform fiber bound
SR-STR-069	Reduced tau core-scale decomposition	Writing the reduced tau numerator and denominator as A=pg and D=qg gives the exact core bound g<2B^2/H(tau).	tau core scale
SR-STR-070	Full collision-energy diagonal barrier	The full tau energy satisfies E_tau=N2+C_tau and hence E_tau>=N2; inserting an ambient half-power estimate for E_tau cannot by itself prove a strict sub-half N2 bound.	tau energy circularity
SR-STR-071	Support/off-diagonal collision hybrid gate	With support S and off-diagonal collisions C, N2<=S+sqrt(S*C); if S<=B^sigma and C<=B^kappa, strict sub-half follows from sigma<1/2 and sigma+kappa<1.	S plus square root S C
SR-STR-072	Dyadic tau-height/core restart contract	On H(tau)~T, the common core satisfies g<<B^2/T and the band count obeys N_T<=S_T+sqrt(S_T C_T); strict sub-half requires uniform bandwise support/collision savings.	tau-band restart
SR-STR-073	Space-filtered fixed-tau genus-one fiber	After fixing tau=p/q and restoring x^2*y^2+1=z^2*(x^2+y^2), the physical fixed-tau fiber is a smooth genus-one curve.	space-filtered tau fiber
SR-STR-074	Physical-cutoff height transfer on a fixed-tau genus-one fiber	For fixed tau and physical R<=B, reconstructed coordinates satisfy H(z)<3B and H(u)<5B^(3/2), giving polynomial projective height on the fixed genus-one fiber.	fixed tau polynomial height
SR-STR-075	Master-Hit Mordell-Weil Euler-brick blocker/generator candidate	Peschmann arXiv:2605.00573 supplies Master-Hit coordinates with exponent-one blockers and a Mordell-Weil construction mechanism for Euler bricks.	Peschmann 2605.00573
SR-STR-076	Matched finite M2-M3 completion panel	At common cutoffs B<=2000, exact primitive canonical no-space counts are joined by B and evaluated under H_ge2=M2+M3, P=M2+3M3, Phi=M3/H_ge2 and Theta=3M3/P.	Stage26 checkpoint20 panel
SR-STR-077	Explicit one-parameter Saunderson coefficient floor	For even m>=10, R<31m^6 and F_S(B)=max(0,floor((B/31)^(1/6)/2)-4); hence liminf M3(B)/B^(1/6)>=1/(2*31^(1/6)).	F_S construction floor
SR-STR-078	Tau/core gcd square-factor normalization	For tau=p/q and core g, exact square-divisor choices reconstruct the fixed-(tau,g) core with uniform subpower multiplicity; same-core collisions cost subpower and distinct-g collisions remain.	square-core decomposition at fixed tau and g; Tau/core gcd square factor normalization
SR-STR-079	Normalized space squareclass collapse and diagonal two-quadrics receiver	After Gaussian-norm normalization the space condition collapses to one canonical squarefree coefficient, equivalently a moving diagonal intersection of two quadrics or a core quartic square receiver.	moving diagonal intersection of two quadrics; Normalized space squareclass collapse and diagonal two quadrics receiver
SR-STR-080	Three simultaneous norm-support restrictions on p q g	The reduced p and core g are sums of two squares, kappa=sf(p+q) is odd with all odd primes split mod 4, and the relevant scale variables are coprime.	simultaneous Gaussian norm support; Three simultaneous norm support restrictions on p q g
SR-STR-081	Uniform moving-tau distinct-core ceiling	The distinct-core count satisfies D_B(tau)<<_epsilon B^epsilon(B/sqrt(H(tau))+sqrt(B)), yielding a moving-tau fiber power bound but not a subpower bound.	moving tau core bound; Uniform moving tau distinct core ceiling
SR-STR-082	Norm-support-only power-saving barrier	The three norm restrictions plus the core-height ceiling still admit an ambient necessary-condition set too large for a strict subhalf bound; diagonal reconstruction is essential.	support-only no-go certificate; Norm support only power saving barrier
SR-STR-083	Fixed-tau coarse-height half-power saturation family	At tau=1/4 the coarse r402a height box contains a half-power family that can be forced exactly-two and non-space, with exact primitive scaling and R-factorization.	r402a non-space stress family; Fixed tau coarse height half power saturation family
SR-STR-084	Exact normalized physical-height identity with primitive scale retained	The normalized receiver satisfies Gamma^2 R^2=4 delta^2 h^2 J(p+q), with primitive scale Gamma retained and tau-asymmetric core-height consequences.	Gamma-normalized height identity; Exact normalized physical height identity with primitive scale retained
SR-STR-085	Cross-gcd primitive-scale factorization and physical diagonal product	Three pairwise-coprime cross-gcd channels give Gamma=2 delta epsilon C and R=(h/epsilon) kappa w-prime c-prime with h*kappa<=epsilon B.	three cross-gcd cancellation channels; Cross gcd primitive scale factorization and physical diagonal product
SR-STR-086	Residual-height versus cross-gcd threshold dichotomy	For residual positive integer L=w-prime c-prime=w c/C, a uniform threshold splits survivors into small h*kappa or large cross-gcd cancellation regimes.	small-height large-cancellation split; Residual height versus cross gcd threshold dichotomy
SR-STR-087	Cross-gcd residual physical-coordinate chart	Absorbing cross-gcd channels yields exact residual edge and two face-diagonal formulas plus an exact physical-edge budget.	residual physical edge chart; Cross gcd residual physical coordinate chart
SR-STR-088	Residual squareclass incidence system and small-L witness	The residual chart gives a coupled squareclass incidence system and an actual Stage19 witness with L=1, closing any unconditional pointwise L>1 claim.	Stage19 L=1 witness; Residual squareclass incidence system and small L witness
SR-STR-089	Residual completion rigidity at fixed outer cell	After fixing the outer residual data, the completion variable has multiplicity at most one; the remaining obstruction is uniformity over moving coefficients.	one-completion residual rigidity; Residual completion rigidity at fixed outer cell
SR-STR-090	Uniform Pell compression of the residual completion fiber	A maximal-order Pell count gives uniform subpower completion multiplicity without assuming uniform Mordell-Weil rank.	maximal-order Pell orbit count; Uniform Pell compression of the residual completion fiber
SR-STR-091	Squarefree-kernel paired-slope residue receiver	kappa divides m^2-n^2 and r^2+s^2, is coprime to mnrs, and imposes paired slope residue conditions modulo kappa.	paired slope congruence modulo kappa; Squarefree kernel paired slope residue receiver
SR-STR-092	Dyadic kappa raw-slope sieve	On dyadic kappa bands, paired slope residues admit a raw slope-sieve bound with a divisor switch when K exceeds the height scale.	divisor-switch slope sieve; Dyadic kappa raw slope sieve
SR-STR-093	Raw-slope sieve composition barrier	Composing the raw kappa sieve with later physical fibers loses the apparent saving; the next valid target must weight by the physical budget first.	early-sieve composition no-go; Raw slope sieve composition barrier
SR-STR-094	Physical-weighted fixed-kappa hyperbolic sieve	For fixed kappa a hyperbolic pair lemma counts physically weighted slope pairs with a 1/kappa-type saving before summing moduli.	weighted hyperbolic pair count; Physical weighted fixed kappa hyperbolic sieve
SR-STR-095	Modulus-entropy barrier after physical weighting	Summing the fixed-kappa weighted bound over a dyadic modulus range cancels the 1/kappa saving; kappa is self-generated rather than independent.	dyadic modulus entropy loss; Modulus entropy barrier after physical weighting
SR-STR-096	Double-Pell compression at fixed self-generated kernel	Fixing the kernel lets two residual equations be counted by independent uniform Pell lemmas and a third equation reconstructs rho uniquely.	two-Pell fiber compression; Double Pell compression at fixed self generated kernel
SR-STR-097	M3-N2 population noncontainment firewall	M3 and N2 are noncontained subsets of the common two-face host; Stage20 third-face bounds and local factors do not directly bound the space-diagonal target.	Euler versus space completion noncontainment; M3 N2 population noncontainment firewall
SR-STR-098	Space-diagonal double cover of the common two-face host	In Pythagorean coordinates the space-square condition defines a degree-two cover with K3 canonical type on the common two-face host.	space-square K3 double cover; Space diagonal double cover of the common two face host
SR-STR-099	Branch-class comparison without branch equality	The space and third-face covers share the base host, branch divisor class and K3 canonical type, but not the same branch divisor; birational equivalence is unproved.	same divisor class different branch divisor; Branch class comparison without branch equality
SR-STR-100	Legal thin-cover architecture transfer gate	The space cover structurally matches the thin-cover architecture, while the Stage20 quantitative theorem and fixed-power saving do not transfer directly.	K3 thin-cover transfer firewall; Legal thin cover architecture transfer gate
SR-STR-101	State-G local blocker transfer to the space diagonal	On the common host the state-G reduction is identical, giving delta_2=2/9 and delta_p=2(p-chi4(p))/(p^2+6p+1) for the space predicate.	state-G space blocker law; State G local blocker transfer to the space diagonal
SR-STR-102	Growing-prime host sieve for the space target	By set inclusion in the same e11 sifted ambient family, the space target obeys B(log B)^5/(log log B)^2 on the host.	Huang ambient sieve set-inclusion transfer; Growing prime host sieve for the space target
SR-STR-103	Space-diagonal torus factorization and squareclass receiver	The branch polynomial factors as (q1^2+q2^2)(q1^2 q2^2+1), producing a Gaussian-norm squareclass receiver.	Gaussian-norm space branch factorization; Space diagonal torus factorization and squareclass receiver
SR-STR-104	Integral squareclass gcd kernel and cross-gcd localization	After clearing denominators, the common squareclass is sf(gcd(F,G)); odd common primes are 1 mod 4 and localize to cross-gcd channels.	squarefree gcd kernel localization; Integral squareclass gcd kernel and cross gcd localization
SR-STR-105	Fixed-coordinate squareclass support collapse	For fixed q1, every odd squareclass prime divides rad(a^4-b^4), H(q1)<=2B, and the number of squareclasses is subpolynomial.	fixed-q squareclass support; Fixed coordinate squareclass support collapse
SR-STR-106	Fixed q1-delta nonisotrivial genus-one fiber geometry	Fixing q1 and delta gives a smooth complete intersection of two quadrics with an explicit quartic genus-one model; the moving q1 family is nonisotrivial.	two-quadrics elliptic fiber geometry; moving q1 genus-one family
SR-STR-107	Squareclass support-fiber half-wall gate	After q1 is fixed the squareclass index costs subpower; strict subhalf still requires an independent q1-support plus uniform max-fiber or second-moment theorem.	half-wall support-fiber gate; Squareclass support fiber half wall gate
SR-STR-108	Explicit moduli map and geometric twist split	The fixed-fiber quartic has j-invariant depending only on x=q1, delta is purely a geometric twist, and physical q1-to-j multiplicity is at most two.	j-map geometric twist decomposition; Explicit moduli map and geometric twist split
SR-STR-109	Twist-prime support inside the moduli degeneration divisor	Odd twist primes are Gaussian-split and lie in the support of x^4-1, the geometric degeneration divisor.	twist primes on degeneration divisor; Twist prime support inside the moduli degeneration divisor
SR-STR-110	Moduli support exponent-equivalence barrier	Bounded q1-to-j multiplicity makes occupied j-support exponent-equivalent to q1-support; squareclass multiplicity per j is subpower but height-only moduli reparametrization yields no saving.	height-only moduli support no-go; Moduli support exponent equivalence barrier
SR-STR-111	Pointwise fixed q1-delta subpower count and uniformity firewall	For each fixed (q1,delta), bounded-height rational points on the genus-one fiber contribute only a subpower count, but the constants and Mordell-Weil rank are not uniform in moving q1.	pointwise versus uniform elliptic fiber count; moving genus-one rank firewall
SR-STR-112	Common Jacobian of the fixed-q1 delta covering family	All fixed-(q1,delta) intersections of quadrics are genus-one coverings of one q1-dependent Jacobian, with delta changing the covering class rather than the Jacobian.	genus-one covering for perfect cuboid support; common jacobian of the fixed-q1 delta covering family
SR-STR-113	Delta fibers as descent coverings of one Mordell-Weil group	For fixed q1, every soluble delta fiber maps to the same elliptic curve; delta indexes descent data and cannot be charged as independent rank entropy.	elliptic descent for perfect cuboid support; delta fibers as descent coverings of one mordell-weil group
SR-STR-114	Full-2-torsion Selmer support under a physical cutoff	The common integral Jacobian has full rational 2-torsion, so its 2-coverings are supported on primes dividing the discriminant and physical cutoff data, giving only a subpolynomial Selmer universe.	2-descent for perfect cuboid support; full-2-torsion selmer support under a physical cutoff
SR-STR-115	Two-to-one elliptic receiver with polynomial height transfer	The fixed-(x,delta) quartic admits an explicit degree-two map to an integral elliptic model, and physical points of cutoff B map to rational points of polynomially bounded height.	elliptic receiver for perfect cuboid support; two-to-one elliptic receiver with polynomial height transfer
SR-STR-116	Uniform bounded-height count on the moving elliptic receiver	A uniform rational-point theorem on the integral elliptic targets gives a subpolynomial count for every fixed (x,delta), with constants controlled across the moving family.	uniform elliptic point counting for perfect cuboid support; uniform bounded-height count on the moving elliptic receiver
SR-STR-117	Occupied first-coordinate support controls the N2 exponent	After the uniform fixed-fiber bound and subpolynomial delta universe, the N2 count equals the exponent of occupied q1-support up to B^o(1); the same holds for bounded-multiplicity j-support.	support reduction for perfect cuboid support; occupied first-coordinate support controls the n2 exponent
SR-STR-118	Möbius injection from occupied q1 support to active-face support	An exact fractional-linear coordinate adapter injects occupied q1 values into the frozen Stage14 active-face support and transfers packets without changing the physical cutoff measure.	support injection for perfect cuboid support; möbius injection from occupied q1 support to active-face support
SR-STR-119	Strict sub-half bound off the critical support wall	For every fixed positive distance from the critical wall, occupied first-coordinate support is O(B^(1/2-epsilon)) up to subpower loss.	off-wall estimate for perfect cuboid support; strict sub-half bound off the critical support wall
SR-STR-120	Critical support wall as the remaining N2 receiver	Combining the support injection and off-wall estimate isolates a fixed critical wall neighborhood as the only possible half-power contribution to occupied q1 support.	critical localization for perfect cuboid support; critical support wall as the remaining n2 receiver
SR-STR-121	No-independent-sieve certificate for the frozen local-root ledger	The Stage14 local-root conditions already define the active-face host; multiplying the same ledger into the critical-wall count would double-charge identical local information.	no-independence firewall for perfect cuboid support; no-independent-sieve certificate for the frozen local-root ledger
SR-STR-122	Diagonal slope-collision energy on critical support	The natural q1/q0 slope adapter is injective on the critical occupied set, so its collision energy contains only diagonal pairs and yields no additive-energy saving.	collision energy for perfect cuboid support; diagonal slope-collision energy on critical support
SR-STR-123	Exponent-neutral q1 projections on critical support	Available projections from the critical occupied set have bounded fibers and images of the same exponent, so projection thinness alone cannot improve the half-power bound.	projection theorem barrier for perfect cuboid support; exponent-neutral q1 projections on critical support
SR-STR-124	Fixed-width wall-slab upper-bound receiver	The global N2 upper bound reduces exactly to proving a power saving for occupied support inside one fixed-width slab around the critical wall, glued to the audited off-wall estimate.	wall-slab receiver for perfect cuboid support; fixed-width wall-slab upper-bound receiver
SR-STR-125	Stage14 first-moment receiver restricted to the wall slab	The frozen MAIN first-moment host and witness multiplicities restrict to the fixed-width wall family without changing measure, leaving a wall-specific moment deficit as the target.	first-moment method for perfect cuboid support; stage14 first-moment receiver restricted to the wall slab
SR-STR-126	Monotone transfer of a wall moment deficit to N2	Any power-saving first-moment deficit on the physical wall host transfers monotonically to occupied q1 support and, after off-wall gluing, to the N2 count.	moment transfer for perfect cuboid support; monotone transfer of a wall moment deficit to n2
SR-STR-127	Physically weighted good-bad wall-cell dichotomy	A usable averaged theorem must split wall cells into good fibers with pointwise saving and bad fibers of small physical mass; an unweighted exceptional-cell count is insufficient.	weighted exceptional set for perfect cuboid support; physically weighted good-bad wall-cell dichotomy
SR-STR-128	Outer-U disintegration of the MAIN wall host	The MAIN wall physical measure disintegrates exactly over an outer U-parameter, so a same-measure theorem may combine good fiber bounds with a bound for total bad physical mass.	measure disintegration for perfect cuboid support; outer-u disintegration of the main wall host
SR-STR-129	Missing T-to-MAIN measure adapter for weighted averaging	The T-route has the required weighted exceptional-set shape but its cells and weights are not yet dominated by the MAIN wall measure; a direct theorem or common refinement is required.	measure adapter for perfect cuboid support; missing t-to-main measure adapter for weighted averaging
SR-STR-130	Nonclosure certificate for the current wall-averaging arsenal	Existing fixed-witness moments, T exceptional classes, fixed-U averaging, and outer-U averaging do not supply the same-measure wall deficit required by the MAIN receiver.	nonclosure certificate for perfect cuboid support; nonclosure certificate for the current wall-averaging arsenal
SR-STR-131	Finite diagnostics for the N2 exponent receiver	Finite registries record occupied q1 support, fiber multiplicities, wall distance and weighted moments, separating support growth from within-fiber growth without asserting an asymptotic theorem.	finite diagnostic for perfect cuboid support; finite diagnostics for the n2 exponent receiver
